Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.863081357209306,5.62821914867169,0.000000000000000E+000,5.16782417276417,0.000000000000000E+000,0.142287174638063,0.142287174638063,0.142287174638063,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.431885463514414 
 01/01  02:00:00,0.741487618164070,5.89700109562391,0.000000000000000E+000,5.53035971680510,0.000000000000000E+000,0.152268969014760,0.152268969014760,0.152268969014760,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.340391627616209 
 01/01  03:00:00,0.698171060233560,6.15288869121049,0.000000000000000E+000,5.81239814779052,0.000000000000000E+000,0.160034413453789,0.160034413453789,0.160034413453789,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.314545137158839 
 01/01  04:00:00,0.690960342042837,6.39303142965191,0.000000000000000E+000,6.04635875782764,0.000000000000000E+000,0.166476117557079,0.166476117557079,0.166476117557079,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.321092479492917 
 01/01  05:00:00,0.694302918536599,6.66681592358450,0.000000000000000E+000,6.24703494797035,0.000000000000000E+000,0.172001392248703,0.172001392248703,0.172001392248703,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.395167078471996 
 01/01  06:00:00,0.751770642784414,7.05230061438884,0.000000000000000E+000,6.31196604228532,0.000000000000000E+000,0.173789158559509,0.173789158559509,0.173789158559509,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.712867441134972 
 01/01  07:00:00,0.975929795743801,7.48179031060013,0.000000000000000E+000,6.14014875630827,0.000000000000000E+000,0.169058464294697,0.169058464294697,0.169058464294697,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30990598551905 
 01/01  08:00:00,1.31226658829291,7.92861433281195,0.000000000000000E+000,6.41244300562555,0.000000000000000E+000,0.176555619404914,0.176555619404914,0.176555619404914,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.48244990767049 
 01/01  09:00:00,1.25829688516711,7.18417469985372,0.000000000000000E+000,5.70568376169116,0.000000000000000E+000,0.157096215871267,0.157096215871267,0.157096215871267,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44998142576944 
 01/01  10:00:00,1.07194261013216,6.39059004782406,0.000000000000000E+000,5.04361827059728,0.000000000000000E+000,0.138867378162432,0.138867378162432,0.138867378162432,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32270787676732 
 01/01  11:00:00,1.07513409490542,6.48853449685714,0.000000000000000E+000,5.29721590796770,0.000000000000000E+000,0.145849754131509,0.145849754131509,0.145849754131509,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16648404166471 
 01/01  12:00:00,1.07065651143719,5.53150012939306,0.000000000000000E+000,4.48352078261576,0.000000000000000E+000,0.123446054521667,0.123446054521667,0.123446054521667,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.02313719092904 
 01/01  13:00:00,1.03054858036308,4.69255252328799,0.000000000000000E+000,3.75421070450894,0.000000000000000E+000,0.103365752448739,0.103365752448739,0.103365752448739,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.913918137225308 
 01/01  14:00:00,1.00766697644517,4.73715738841185,0.000000000000000E+000,3.86598089540774,0.000000000000000E+000,0.106443152944592,0.106443152944592,0.106443152944592,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.845908254237754 
 01/01  15:00:00,1.00781179846292,4.70911203034514,0.000000000000000E+000,3.90065813057401,0.000000000000000E+000,0.107397931135783,0.107397931135783,0.107397931135783,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.781762848403370 
 01/01  16:00:00,1.08300856938659,4.88069675285386,0.000000000000000E+000,4.06395235664940,0.000000000000000E+000,0.111893957565133,0.111893957565133,0.111893957565133,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.788569663246984 
 01/01  17:00:00,1.35072291320113,5.10591096476473,0.000000000000000E+000,4.20181452430843,0.000000000000000E+000,0.115689755887580,0.115689755887580,0.115689755887580,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.870770669364292 
 01/01  18:00:00,1.85726021748416,5.87736844132246,0.000000000000000E+000,4.80360882766704,0.000000000000000E+000,0.132259129820513,0.132259129820513,0.132259129820513,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03327412781509 
 01/01  19:00:00,2.17853696488634,5.20838802234567,0.000000000000000E+000,3.97166298443101,0.000000000000000E+000,0.109352927997741,0.109352927997741,0.109352927997741,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.19277001974146 
 01/01  20:00:00,2.14033666532429,5.12867201962550,0.000000000000000E+000,3.85723585485699,0.000000000000000E+000,0.106202373252702,0.106202373252702,0.106202373252702,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22606594261744 
 01/01  21:00:00,1.98966208036822,5.22399706526159,0.000000000000000E+000,4.03729131148974,0.000000000000000E+000,0.111159891416238,0.111159891416238,0.111159891416238,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13977576379571 
 01/01  22:00:00,1.82007848471000,5.19824319050434,0.000000000000000E+000,4.12888529037303,0.000000000000000E+000,0.113681774520901,0.113681774520901,0.113681774520901,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.02352355194448 
 01/01  23:00:00,1.49421198504565,5.15424625786037,0.000000000000000E+000,4.27120533370598,0.000000000000000E+000,0.117600312803789,0.117600312803789,0.117600312803789,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.843377169656060 
 01/01  24:00:00,1.16992875753072,5.16999715120797,0.000000000000000E+000,4.49292367945460,0.000000000000000E+000,0.123704947158081,0.123704947158081,0.123704947158081,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.642606407130814 
 01/02  01:00:00,0.844916206859622,5.19092396809863,0.000000000000000E+000,4.74682602064214,0.000000000000000E+000,0.130695712624129,0.130695712624129,0.130695712624129,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.415588435063385 
 01/02  02:00:00,0.722880007965480,5.35598979519749,0.000000000000000E+000,4.99789208415086,0.000000000000000E+000,0.137608386049131,0.137608386049131,0.137608386049131,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.331847959844022 
 01/02  03:00:00,0.680625958691506,5.60440209754645,0.000000000000000E+000,5.27000514435710,0.000000000000000E+000,0.145100552427957,0.145100552427957,0.145100552427957,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.308451546928221 
 01/02  04:00:00,0.670119315464257,5.67938638068130,0.000000000000000E+000,5.33901048934481,0.000000000000000E+000,0.147000496242797,0.147000496242797,0.147000496242797,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.314795699005141 
 01/02  05:00:00,0.666026850884582,5.72335674043712,0.000000000000000E+000,5.31707290003961,0.000000000000000E+000,0.146396482349086,0.146396482349086,0.146396482349086,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.381669943255319 
 01/02  06:00:00,0.717282302958442,5.90977107517708,0.000000000000000E+000,5.20815136154314,0.000000000000000E+000,0.143397514611063,0.143397514611063,0.143397514611063,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.674152582665387 
 01/02  07:00:00,0.931894198688701,6.17946360243262,0.000000000000000E+000,4.92670558724968,0.000000000000000E+000,0.135648387957510,0.135648387957510,0.135648387957510,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.22102244641017 
 01/02  08:00:00,1.25485477181383,6.50346947680447,0.000000000000000E+000,5.09583883285830,0.000000000000000E+000,0.140305181774500,0.140305181774500,0.140305181774500,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.37390922443022 
 01/02  09:00:00,1.20043723320768,6.14700803778133,0.000000000000000E+000,4.78235313400975,0.000000000000000E+000,0.131673890753866,0.131673890753866,0.131673890753866,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.33614539137847 
 01/02  10:00:00,1.02044843581325,6.05033738185865,0.000000000000000E+000,4.80888130114413,0.000000000000000E+000,0.132404298334249,0.132404298334249,0.132404298334249,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.21719218025505 
 01/02  11:00:00,1.03075788267760,6.63487156567451,0.000000000000000E+000,5.53474869226447,0.000000000000000E+000,0.152389811925972,0.152389811925972,0.152389811925972,0.127943541580951,2.787563787674246E-002,0.344876895795482,0.360559981808849,1.07528832618532 
 01/02  12:00:00,1.03036540508236,5.89860974450938,0.000000000000000E+000,4.92653712639621,0.000000000000000E+000,0.135643749676858,0.135643749676858,0.135643749676858,0.127943541580951,2.787563787674246E-002,0.361120014768658,0.360670447489552,0.947230462264905 
