Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.06159234402371,12.8310430288373,0.000000000000000E+000,12.3776790231981,0.000000000000000E+000,0.340798161452472,0.340798161452472,0.340798161452472,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.424854493246128 
 01/01  02:00:00,0.943617512948290,13.2309434956747,0.000000000000000E+000,12.8716521344897,0.000000000000000E+000,0.354398863798981,0.354398863798981,0.354398863798981,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.333041609982433 
 01/01  03:00:00,0.909606386930230,13.8246662782516,0.000000000000000E+000,13.4916608435237,0.000000000000000E+000,0.371469740150460,0.371469740150460,0.371469740150460,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.307060028466790 
 01/01  04:00:00,0.907191444623170,14.2391703745333,0.000000000000000E+000,13.8998024828896,0.000000000000000E+000,0.382707220137414,0.382707220137414,0.382707220137414,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.313787699312267 
 01/01  05:00:00,0.913816478178948,14.6319711410625,0.000000000000000E+000,14.2196964521069,0.000000000000000E+000,0.391514951891053,0.391514951891053,0.391514951891053,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.387660791813408 
 01/01  06:00:00,0.975868944406361,15.1840485966243,0.000000000000000E+000,14.4511438925953,0.000000000000000E+000,0.397887460181458,0.397887460181458,0.397887460181458,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.705437573060476 
 01/01  07:00:00,1.25009602905486,17.4322865578797,0.000000000000000E+000,16.0977776955618,0.000000000000000E+000,0.443224697605758,0.443224697605758,0.443224697605758,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30277329354509 
 01/01  08:00:00,1.57039383704346,17.2968630305281,0.000000000000000E+000,15.7875412120199,0.000000000000000E+000,0.434682868155469,0.434682868155469,0.434682868155469,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47560039899225 
 01/01  09:00:00,1.48504585978009,15.4112944773942,0.000000000000000E+000,13.9411331979116,0.000000000000000E+000,0.383845190484246,0.383845190484246,0.383845190484246,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44165176708947 
 01/01  10:00:00,1.28843110068085,14.2455213121067,0.000000000000000E+000,12.9064102434410,0.000000000000000E+000,0.355355868711129,0.355355868711129,0.355355868711129,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31484716820619 
 01/01  11:00:00,1.28762562113234,14.1981275051635,0.000000000000000E+000,13.0148394291060,0.000000000000000E+000,0.358341280358428,0.358341280358428,0.358341280358428,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.15845352883280 
 01/01  12:00:00,1.22245448447207,11.0363176273646,0.000000000000000E+000,9.99677407773336,0.000000000000000E+000,0.275244027556550,0.275244027556550,0.275244027556550,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01470139378298 
 01/01  13:00:00,1.17123009913629,9.79527768053599,0.000000000000000E+000,8.86371797546782,0.000000000000000E+000,0.244047271221950,0.244047271221950,0.244047271221950,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.907136023514447 
 01/01  14:00:00,1.12064934208523,8.83410496850418,0.000000000000000E+000,7.96946388139012,0.000000000000000E+000,0.219425518584654,0.219425518584654,0.219425518584654,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.839372848347733 
 01/01  15:00:00,1.11747371477272,8.68584361974203,0.000000000000000E+000,7.88354347058440,0.000000000000000E+000,0.217059847445587,0.217059847445587,0.217059847445587,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.775609097789865 
 01/01  16:00:00,1.20476725623061,9.29754950597479,0.000000000000000E+000,8.48618849084153,0.000000000000000E+000,0.233652644409153,0.233652644409153,0.233652644409153,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.783186282175774 
 01/01  17:00:00,1.48767464529866,10.0743879441702,0.000000000000000E+000,9.17585714927351,0.000000000000000E+000,0.252641487985118,0.252641487985118,0.252641487985118,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.865205023804649 
 01/01  18:00:00,2.03193716000111,12.2156176641631,0.000000000000000E+000,11.1478188962121,0.000000000000000E+000,0.306936072337464,0.306936072337464,0.306936072337464,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.02731328211063 
 01/01  19:00:00,2.33797815432364,10.9922071341893,0.000000000000000E+000,9.76251542776779,0.000000000000000E+000,0.268794117435034,0.268794117435034,0.268794117435034,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18573668824834 
 01/01  20:00:00,2.29796716721127,10.8468817816943,0.000000000000000E+000,9.58232471187186,0.000000000000000E+000,0.263832875139686,0.263832875139686,0.263832875139686,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.21918684767137 
 01/01  21:00:00,2.15253467866701,11.1327008492369,0.000000000000000E+000,9.95277141509301,0.000000000000000E+000,0.274032489715026,0.274032489715026,0.274032489715026,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13299944416770 
 01/01  22:00:00,1.98928168962140,11.3366062214124,0.000000000000000E+000,10.2742909790766,0.000000000000000E+000,0.282884979432302,0.282884979432302,0.282884979432302,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01648089414891 
 01/01  23:00:00,1.67280198957512,11.6336329739781,0.000000000000000E+000,10.7575365492152,0.000000000000000E+000,0.296190317333264,0.296190317333264,0.296190317333264,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.836432670264573 
 01/01  24:00:00,1.35175757788107,11.7670566964682,0.000000000000000E+000,11.0968876382723,0.000000000000000E+000,0.305533767508438,0.305533767508438,0.305533767508438,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.635701993573405 
 01/02  01:00:00,1.03082229636199,11.9358060205630,0.000000000000000E+000,11.4988750766320,0.000000000000000E+000,0.316601802126497,0.316601802126497,0.316601802126497,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.408421431537856 
 01/02  02:00:00,0.911327533374032,12.1931760954540,0.000000000000000E+000,11.8422452704527,0.000000000000000E+000,0.326055911457684,0.326055911457684,0.326055911457684,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.324681073798701 
 01/02  03:00:00,0.864849564515623,12.2881912043529,0.000000000000000E+000,11.9609469372021,0.000000000000000E+000,0.329324158252074,0.329324158252074,0.329324158252074,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.301298860889671 
 01/02  04:00:00,0.856745094775858,12.4503734100387,0.000000000000000E+000,12.1171984464866,0.000000000000000E+000,0.333626275554399,0.333626275554399,0.333626275554399,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.307594771220728 
 01/02  05:00:00,0.847306367435746,12.3002634899789,0.000000000000000E+000,11.9010863224939,0.000000000000000E+000,0.327675998900251,0.327675998900251,0.327675998900251,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.374563270342829 
 01/02  06:00:00,0.898465363891419,12.4832634578877,0.000000000000000E+000,11.7886615471349,0.000000000000000E+000,0.324580575544042,0.324580575544042,0.324580575544042,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.667134779784247 
 01/02  07:00:00,1.13277309125026,13.4683454381434,0.000000000000000E+000,12.2225620087322,0.000000000000000E+000,0.336527280519067,0.336527280519067,0.336527280519067,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.21404786063841 
 01/02  08:00:00,1.42720420827661,12.7556836770397,0.000000000000000E+000,11.3555146341401,0.000000000000000E+000,0.312654618237281,0.312654618237281,0.312654618237281,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.36644762338371 
 01/02  09:00:00,1.36858282732301,12.2467908320677,0.000000000000000E+000,10.8893467405897,0.000000000000000E+000,0.299819484869190,0.299819484869190,0.299819484869190,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.32893457908487 
