Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.910251958839001,7.33892913501911,0.000000000000000E+000,6.88104517083273,0.000000000000000E+000,0.189457776267760,0.189457776267760,0.189457776267760,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.429374451793298 
 01/01  02:00:00,0.785097263646414,7.47807722562061,0.000000000000000E+000,7.11424793907535,0.000000000000000E+000,0.195878614497105,0.195878614497105,0.195878614497105,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.337579535342646 
 01/01  03:00:00,0.737668156907823,7.58503560525021,0.000000000000000E+000,7.24691992718828,0.000000000000000E+000,0.199531510128054,0.199531510128054,0.199531510128054,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.312170271800812 
 01/01  04:00:00,0.726331694302680,7.67566717325741,0.000000000000000E+000,7.33103483419748,0.000000000000000E+000,0.201847469816922,0.201847469816922,0.201847469816922,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.319052146728580 
 01/01  05:00:00,0.725048227560007,7.78143131756421,0.000000000000000E+000,7.36369462987377,0.000000000000000E+000,0.202746701272112,0.202746701272112,0.202746701272112,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.393122790548272 
 01/01  06:00:00,0.779050542839811,8.04124695477300,0.000000000000000E+000,7.30276319104791,0.000000000000000E+000,0.201069058614907,0.201069058614907,0.201069058614907,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.711016632756565 
 01/01  07:00:00,1.00160513566002,8.41256082756972,0.000000000000000E+000,7.07266879966754,0.000000000000000E+000,0.194733804210912,0.194733804210912,0.194733804210912,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30815645912939 
 01/01  08:00:00,1.34109719756024,8.97422375260620,0.000000000000000E+000,7.45956141152716,0.000000000000000E+000,0.205386228672250,0.205386228672250,0.205386228672250,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.48094092156311 
 01/01  09:00:00,1.29459689213569,8.50139062778337,0.000000000000000E+000,7.02408827679168,0.000000000000000E+000,0.193396222839843,0.193396222839843,0.193396222839843,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44879283859859 
 01/01  10:00:00,1.13237712354464,8.58382189844847,0.000000000000000E+000,7.23858025558788,0.000000000000000E+000,0.199301891574914,0.199301891574914,0.199301891574914,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32097774240113 
 01/01  11:00:00,1.15339100916402,9.32865019788269,0.000000000000000E+000,8.13948172862426,0.000000000000000E+000,0.224106668390115,0.224106668390115,0.224106668390115,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16433392203371 
 01/01  12:00:00,1.13914319885696,8.01613357179342,0.000000000000000E+000,6.97093512379400,0.000000000000000E+000,0.191932741941441,0.191932741941441,0.191932741941441,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.02035629215114 
 01/01  13:00:00,1.10795982668007,7.50150035061240,0.000000000000000E+000,6.56576213898170,0.000000000000000E+000,0.180776998765725,0.180776998765725,0.180776998765725,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.911314530076971 
 01/01  14:00:00,1.07686073130656,7.24745343459344,0.000000000000000E+000,6.37907569742778,0.000000000000000E+000,0.175636907805986,0.175636907805986,0.175636907805986,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.843109498399331 
 01/01  15:00:00,1.07174485572568,7.02842035558467,0.000000000000000E+000,6.22268609691509,0.000000000000000E+000,0.171330988398550,0.171330988398550,0.171330988398550,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.779043207301817 
 01/01  16:00:00,1.14243070217680,7.03632826510202,0.000000000000000E+000,6.22214500480305,0.000000000000000E+000,0.171316090355338,0.171316090355338,0.171316090355338,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.786008527341480 
 01/01  17:00:00,1.40384948981159,7.03305219123742,0.000000000000000E+000,6.13135460774982,0.000000000000000E+000,0.168816332498045,0.168816332498045,0.168816332498045,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.868371812395589 
 01/01  18:00:00,1.91909375515161,8.12096538493647,0.000000000000000E+000,7.04938292120830,0.000000000000000E+000,0.194092667487958,0.194092667487958,0.194092667487958,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03109697788785 
 01/01  19:00:00,2.22933139747318,7.05070577853553,0.000000000000000E+000,5.81650035105814,0.000000000000000E+000,0.160147360584579,0.160147360584579,0.160147360584579,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.19025040930417 
 01/01  20:00:00,2.18894719801778,6.89198738559180,0.000000000000000E+000,5.62275468354540,0.000000000000000E+000,0.154812905946195,0.154812905946195,0.154812905946195,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22386247989534 
 01/01  21:00:00,2.03664693282386,6.92867887516078,0.000000000000000E+000,5.74376595962073,0.000000000000000E+000,0.158144743871883,0.158144743871883,0.158144743871883,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13798292556388 
 01/01  22:00:00,1.87068847342480,7.03431003544892,0.000000000000000E+000,5.96702371520974,0.000000000000000E+000,0.164291763235703,0.164291763235703,0.164291763235703,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.02145197205233 
 01/01  23:00:00,1.55032808073165,7.19024811170100,0.000000000000000E+000,6.30932378327766,0.000000000000000E+000,0.173716408489790,0.173716408489790,0.173716408489790,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.841260573925029 
 01/01  24:00:00,1.23077164669747,7.37759037431516,0.000000000000000E+000,6.70271773978757,0.000000000000000E+000,0.184547836324833,0.184547836324833,0.184547836324833,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.640405569905029 
 01/02  01:00:00,0.910234998446952,7.56109554368746,0.000000000000000E+000,7.11918340955928,0.000000000000000E+000,0.196014504211459,0.196014504211459,0.196014504211459,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.413402621735072 
 01/02  02:00:00,0.794060541935192,7.93882339446727,0.000000000000000E+000,7.58314606093852,0.000000000000000E+000,0.208788920018843,0.208788920018843,0.208788920018843,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.329427582326119 
 01/02  03:00:00,0.755625393799934,8.32578786200213,0.000000000000000E+000,7.99396037562016,0.000000000000000E+000,0.220099987536385,0.220099987536385,0.220099987536385,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.305882080120827 
 01/02  04:00:00,0.754217718788259,8.73127965013697,0.000000000000000E+000,8.39343730394817,0.000000000000000E+000,0.231098899566799,0.231098899566799,0.231098899566799,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.312262153857440 
 01/02  05:00:00,0.759617640426151,9.12006855127250,0.000000000000000E+000,8.71626011259968,0.000000000000000E+000,0.239987271890655,0.239987271890655,0.239987271890655,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.379194541530674 
 01/02  06:00:00,0.819798201120122,9.63054696831074,0.000000000000000E+000,8.93149563315573,0.000000000000000E+000,0.245913412772746,0.245913412772746,0.245913412772746,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.671584204186456 
 01/02  07:00:00,1.06206532973352,10.9045110759877,0.000000000000000E+000,9.65447897456042,0.000000000000000E+000,0.265819519002330,0.265819519002330,0.265819519002330,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.21829653265448 
 01/02  08:00:00,1.37492705089405,10.8616148086128,0.000000000000000E+000,9.45682518238737,0.000000000000000E+000,0.260377460854721,0.260377460854721,0.260377460854721,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.37106820670949 
 01/02  09:00:00,1.29762516210020,9.67287664368510,0.000000000000000E+000,8.31218728462256,0.000000000000000E+000,0.228861819646384,0.228861819646384,0.228861819646384,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.33217984666943 
 01/02  10:00:00,1.08462209809389,8.37767605536715,0.000000000000000E+000,7.13964796393216,0.000000000000000E+000,0.196577960614889,0.196577960614889,0.196577960614889,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.21376419097551 
 01/02  11:00:00,1.07350582805459,8.18452425442014,0.000000000000000E+000,7.08734024534847,0.000000000000000E+000,0.195137757302968,0.195137757302968,0.195137757302968,0.127943541580951,2.787563787674246E-002,0.344876895795482,0.360559981808849,1.07234946184694 
 01/02  12:00:00,1.03320743599257,5.99889193840218,0.000000000000000E+000,5.02975877005349,0.000000000000000E+000,0.138485780587061,0.138485780587061,0.138485780587061,0.127943541580951,2.787563787674246E-002,0.361120014768658,0.360670447489552,0.944291012500422 
 01/02  13:00:00,0.988815390114340,4.84549238695031,0.000000000000000E+000,3.97493823990724,0.000000000000000E+000,0.109443106539493,0.109443106539493,0.109443106539493,0.127943541580951,2.787563787674246E-002,0.351846255376571,0.354594835050983,0.846130465489339 
 01/02  14:00:00,0.955004755004587,4.34951169763377,0.000000000000000E+000,3.53641055433974,0.000000000000000E+000,9.736899888915596E-002,9.736899888915596E-002,9.736899888915596E-002,0.127943541580951,2.787563787674246E-002,0.317848037359318,0.366856525608822,0.787832904527678 
 01/02  15:00:00,0.952363230021227,4.06377612902983,0.000000000000000E+000,3.30781332121443,0.000000000000000E+000,9.107496616975687E-002,9.107496616975687E-002,9.107496616975687E-002,0.134677451787115,2.934278533945949E-002,0.292642405135342,0.387513607899952,0.729271756447644 
 01/02  16:00:00,1.02872100571376,4.20315870296797,0.000000000000000E+000,3.43821658598143,0.000000000000000E+000,9.466539639473708E-002,9.466539639473708E-002,9.466539639473708E-002,0.168346835632121,3.667848622751551E-002,0.302863858133087,0.409054415636696,0.736767384029055 
 01/02  17:00:00,1.29781326674111,4.42579787259685,0.000000000000000E+000,3.58468153003776,0.000000000000000E+000,9.869805740962415E-002,9.869805740962415E-002,9.869805740962415E-002,0.282822640393651,6.161984739158848E-002,0.353721026385214,0.483839681471435,0.807790571467082 
 01/02  18:00:00,1.81849732718436,5.67848077650299,0.000000000000000E+000,4.67972488754089,0.000000000000000E+000,0.128848198017438,0.128848198017438,0.128848198017438,0.525242070329039,0.114436864645168,0.445070293491817,0.587787887011303,0.958270403121779 
 01/02  19:00:00,2.14573057861852,5.16530631757244,0.000000000000000E+000,4.02628620618000,0.000000000000000E+000,0.110856884717718,0.110856884717718,0.110856884717718,0.781129237083851,0.170188158611418,0.398284023104866,0.638160237411070,1.09506509321925 
 01/02  20:00:00,2.10926386954562,5.13501493311388,0.000000000000000E+000,3.97244135380518,0.000000000000000E+000,0.109374359063384,0.109374359063384,0.109374359063384,0.828266357748276,0.180458136212143,0.315346148810717,0.658706854021501,1.11720335715762 
 01/02  21:00:00,1.95757811226505,5.22042994712795,0.000000000000000E+000,4.13794875686605,0.000000000000000E+000,0.113931321524941,0.113931321524941,0.113931321524941,0.713790552986747,0.155516756835306,0.275875148663200,0.681352318565255,1.03555120028573 
 01/02  22:00:00,1.79104565061548,5.34911593394577,0.000000000000000E+000,4.36765272811108,0.000000000000000E+000,0.120255826380166,0.120255826380166,0.120255826380166,0.599314664632309,0.130575395671233,0.258342489697899,0.665445260544277,0.935628857647865 
 01/02  23:00:00,1.47544442896370,5.43111741191968,0.000000000000000E+000,4.61717489575588,0.000000000000000E+000,0.127125991280678,0.127125991280678,0.127125991280678,0.451169476025773,9.829833361910398E-002,0.205881020852975,0.575857593495570,0.774278761665486 
 01/02  24:00:00,1.16294932337598,5.43736651795548,0.000000000000000E+000,4.80365389844177,0.000000000000000E+000,0.132260370766988,0.132260370766988,0.132260370766988,0.309758114032493,6.748840081692746E-002,0.135920890493347,0.500409533576620,0.599245554891169 
 01/03  01:00:00,0.851380155290899,5.42490707083482,0.000000000000000E+000,4.98159453747875,0.000000000000000E+000,0.137159661055404,0.137159661055404,0.137159661055404,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.414803020962979 
 01/03  02:00:00,0.727389486007926,5.51879105340087,0.000000000000000E+000,5.16167486846417,0.000000000000000E+000,0.142117864091577,0.142117864091577,0.142117864091577,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.330866433734066 
 01/03  03:00:00,0.680314172260961,5.59208421118018,0.000000000000000E+000,5.25868116201918,0.000000000000000E+000,0.144788765997411,0.144788765997411,0.144788765997411,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.307457642899879 
