Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.930504780165506,8.07439219130661,0.000000000000000E+000,7.61662109244350,0.000000000000000E+000,0.209710597594265,0.209710597594265,0.209710597594265,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.429261586470025 
 01/01  02:00:00,0.801672952662735,8.08022798869816,0.000000000000000E+000,7.71627160422054,0.000000000000000E+000,0.212454303513425,0.212454303513425,0.212454303513425,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.337706633274988 
 01/01  03:00:00,0.752932424855036,8.13923816118657,0.000000000000000E+000,7.80131320316557,0.000000000000000E+000,0.214795778075265,0.214795778075265,0.214795778075265,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.311979551759892 
 01/01  04:00:00,0.739748164879047,8.16290630987880,0.000000000000000E+000,7.81831670717089,0.000000000000000E+000,0.215263940393290,0.215263940393290,0.215263940393290,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.319009410376546 
 01/01  05:00:00,0.737061492080802,8.21775740040330,0.000000000000000E+000,7.80001251265060,0.000000000000000E+000,0.214759965792907,0.214759965792907,0.214759965792907,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.393130990610560 
 01/01  06:00:00,0.789741594456778,8.42951256726185,0.000000000000000E+000,7.69105872870948,0.000000000000000E+000,0.211760110231874,0.211760110231874,0.211760110231874,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.710986707583833 
 01/01  07:00:00,1.02498598072237,9.26175294904404,0.000000000000000E+000,7.92185353188420,0.000000000000000E+000,0.218114649273266,0.218114649273266,0.218114649273266,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30816384838706 
 01/01  08:00:00,1.33296654545717,8.67871174519951,0.000000000000000E+000,7.16425875627736,0.000000000000000E+000,0.197255576569174,0.197255576569174,0.197255576569174,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.48073156940619 
 01/01  09:00:00,1.29088864969456,8.36659362941374,0.000000000000000E+000,6.88940611043009,0.000000000000000E+000,0.189687980398717,0.189687980398717,0.189687980398717,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44867800659055 
 01/01  10:00:00,1.10969440494507,7.76043831609582,0.000000000000000E+000,6.41475125075298,0.000000000000000E+000,0.176619172975349,0.176619172975349,0.176619172975349,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32142316488338 
 01/01  11:00:00,1.10923607599935,7.72541767952467,0.000000000000000E+000,6.53578883405636,0.000000000000000E+000,0.179951735225438,0.179951735225438,0.179951735225438,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16479429824361 
 01/01  12:00:00,1.08109230203132,5.90852766041921,0.000000000000000E+000,4.86254532246940,0.000000000000000E+000,0.133881845115800,0.133881845115800,0.133881845115800,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.02114018210153 
 01/01  13:00:00,1.05049311164305,5.41587085549572,0.000000000000000E+000,4.47858963131848,0.000000000000000E+000,0.123310283728709,0.123310283728709,0.123310283728709,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.912857542623503 
 01/01  14:00:00,1.01052339118161,4.83954361467407,0.000000000000000E+000,3.96972495498287,0.000000000000000E+000,0.109299567681035,0.109299567681035,0.109299567681035,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.844550420924841 
 01/01  15:00:00,1.01910746842111,5.11872613559730,0.000000000000000E+000,4.31091321087906,0.000000000000000E+000,0.118693601093977,0.118693601093977,0.118693601093977,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.781121873350496 
 01/01  16:00:00,1.10062759292978,5.52023591523375,0.000000000000000E+000,4.70386959443691,0.000000000000000E+000,0.129512981108319,0.129512981108319,0.129512981108319,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.788191587839357 
 01/01  17:00:00,1.37588105552318,6.01920269660239,0.000000000000000E+000,5.11555011828924,0.000000000000000E+000,0.140847898209636,0.140847898209636,0.140847898209636,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.870326807221147 
 01/01  18:00:00,1.90146398803390,7.48234192948592,0.000000000000000E+000,6.40907548026812,0.000000000000000E+000,0.176462900370247,0.176462900370247,0.176462900370247,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03278096337747 
