Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,0.990697872230930,5.09415609030881,0.000000000000000E+000,5.06618868956046,0.000000000000000E+000,0.129072507769955,0.129072507769955,0.129072507769955,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803580951944 
 01/01  02:00:00,0.810560491102749,5.38775576592597,0.000000000000000E+000,5.36200515675011,0.000000000000000E+000,0.136594900132279,0.136594900132279,0.136594900132279,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808447571619280E-002 
 01/01  03:00:00,0.748265806760414,5.53410827829872,0.000000000000000E+000,5.50865622691040,0.000000000000000E+000,0.140336628527270,0.140336628527270,0.140336628527270,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144180897308727E-002 
 01/01  04:00:00,0.743763196823362,5.70847890822003,0.000000000000000E+000,5.68338512617680,0.000000000000000E+000,0.144719985380256,0.144719985380256,0.144719985380256,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732410480167E-002 
 01/01  05:00:00,0.789992582316324,5.67086998368616,0.000000000000000E+000,5.64672412261838,0.000000000000000E+000,0.143835025000944,0.143835025000944,0.143835025000944,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296773335 
 01/01  06:00:00,1.05471910853392,5.61470432693759,0.000000000000000E+000,5.58775948661154,0.000000000000000E+000,0.142172114498059,0.142172114498059,0.142172114498059,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215081 
 01/01  07:00:00,1.67186252946443,5.53829125553393,0.000000000000000E+000,5.50715914223757,0.000000000000000E+000,0.140068378056831,0.140068378056831,0.140068378056831,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249263 
 01/01  08:00:00,2.11122852303563,5.85108337465787,0.000000000000000E+000,5.81800317179776,0.000000000000000E+000,0.147891245009031,0.147891245009031,0.147891245009031,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581874 
 01/01  09:00:00,2.04398978618882,5.36153560257913,0.000000000000000E+000,5.33356820183076,0.000000000000000E+000,0.135876027487584,0.135876027487584,0.135876027487584,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.79813525351121,5.30391696794612,0.000000000000000E+000,5.28011444833401,0.000000000000000E+000,0.134028697431492,0.134028697431492,0.134028697431492,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429279618290 
 01/01  11:00:00,1.71957897471535,6.36898836634556,0.000000000000000E+000,6.34462605088181,0.000000000000000E+000,0.162287119364960,0.162287119364960,0.162287119364960,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958962100430 
 01/01  12:00:00,1.61138883379289,5.17593717898126,0.000000000000000E+000,5.15156739957282,0.000000000000000E+000,0.130865330386429,0.130865330386429,0.130865330386429,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266596939307 
 01/01  13:00:00,1.51696392116394,5.10885389046715,0.000000000000000E+000,5.08489462801659,0.000000000000000E+000,0.128868436978205,0.128868436978205,0.128868436978205,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545876543 
 01/01  14:00:00,1.43875567608376,4.78522878859127,0.000000000000000E+000,4.76044102828025,0.000000000000000E+000,0.121674826092235,0.121674826092235,0.121674826092235,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928340706952 
 01/01  15:00:00,1.39137953700238,4.65686115134441,0.000000000000000E+000,4.63067763337664,0.000000000000000E+000,0.118314617016780,0.118314617016780,0.118314617016780,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516744435491 
 01/01  16:00:00,1.46355025282779,4.62138213769720,0.000000000000000E+000,4.59374315051511,0.000000000000000E+000,0.117388191768911,0.117388191768911,0.117388191768911,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328370653831 
 01/01  17:00:00,1.77038163836056,4.48231884326357,0.000000000000000E+000,4.44962676552726,0.000000000000000E+000,0.113955354214445,0.113955354214445,0.113955354214445,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915246828794 
 01/01  18:00:00,2.37646909377897,5.39614692855139,0.000000000000000E+000,5.35643127886307,0.000000000000000E+000,0.137725272928883,0.137725272928883,0.137725272928883,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680844613525 
 01/01  19:00:00,2.77968646901423,4.18637979888105,0.000000000000000E+000,4.14326059041474,0.000000000000000E+000,0.105510322709898,0.105510322709898,0.105510322709898,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128339522130 
 01/01  20:00:00,2.75790519658711,3.95089524837198,0.000000000000000E+000,3.90638774619356,0.000000000000000E+000,9.919528619109519E-002,9.919528619109519E-002,9.919528619109519E-002,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910214505588 
 01/01  21:00:00,2.55210565563450,4.01666660050674,0.000000000000000E+000,3.97062898966715,0.000000000000000E+000,0.101052377381081,0.101052377381081,0.101052377381081,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499248030274 
 01/01  22:00:00,2.31333443819309,4.17864140951654,0.000000000000000E+000,4.13367860671210,0.000000000000000E+000,0.105310594320516,0.105310594320516,0.105310594320516,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454851794529 
 01/01  23:00:00,1.88265610955784,4.47169277884747,0.000000000000000E+000,4.43278323518553,0.000000000000000E+000,0.112973129726901,0.112973129726901,0.112973129726901,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370955535994 
