Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.754437551028791,4.17805578853662,0.000000000000000E+000,3.78650669840182,0.101385505717097,0.101385505717097,0.101385505717097,0.132991937463835,2.755443954505400E-002,9.294299910333617E-002,0.384214656921069,0.365082921633354 
 01/01  02:00:00,0.651906935182339,4.53011946444212,0.000000000000000E+000,4.21880548986500,0.112960510090358,0.112960510090358,0.112960510090358,7.757865884929742E-002,1.607342069256627E-002,7.618584051012475E-002,0.353760492761593,0.286945604860011 
 01/01  03:00:00,0.614562535171371,4.78374499508346,0.000000000000000E+000,4.49421470121314,0.120334721836362,0.120334721836362,0.120334721836362,5.541331988790434E-002,1.148101600202945E-002,6.232654333565033E-002,0.349658921831025,0.265444455976027 
 01/01  04:00:00,0.606437292633407,4.98169197076081,0.000000000000000E+000,4.68643212005122,0.125481434035435,0.125481434035435,0.125481434035435,5.541331988790434E-002,1.148101600202945E-002,5.397647371529803E-002,0.344737036714339,0.271513051002640 
 01/01  05:00:00,0.609358520572121,5.19699494213788,0.000000000000000E+000,4.83945546641655,0.129578706427510,0.129578706427510,0.129578706427510,5.541331988790434E-002,1.148101600202945E-002,6.582291696649339E-002,0.331714549009782,0.334689714551821 
 01/01  06:00:00,0.662884330813863,5.50244806625265,0.000000000000000E+000,4.87001534152935,0.130396961521122,0.130396961521122,0.130396961521122,5.541331988790434E-002,1.148101600202945E-002,8.007824464053613E-002,0.370166776483870,0.606934227714958 
 01/01  07:00:00,0.863870840816434,5.87506772366711,0.000000000000000E+000,4.72786759938722,0.126590888570107,0.126590888570107,0.126590888570107,0.127450643996854,2.640633195888867E-002,0.140383655227083,0.427691308785101,1.11773911845670 
 01/01  08:00:00,1.16626856463644,6.46740646006670,0.000000000000000E+000,5.17248219710248,0.138495654474151,0.138495654474151,0.138495654474151,0.260442581460688,5.396077150394267E-002,0.228567473812190,0.454454059107065,1.26361973699719 
 01/01  09:00:00,1.13016077101924,6.05807407363505,0.000000000000000E+000,4.79712971605756,0.128445414465604,0.128445414465604,0.128445414465604,0.249359925737781,5.166457058390340E-002,0.301128191032485,0.384214656921069,1.23447818907604 
 01/01  10:00:00,1.00290432466113,6.06311181937210,0.000000000000000E+000,4.91631810138028,0.131636739791042,0.131636739791042,0.131636739791042,0.127450643996854,2.640633195888867E-002,0.375064854196324,0.326997742439629,1.12426886841854 
 01/01  11:00:00,1.02952405272469,6.86131304931194,0.000000000000000E+000,5.84846539762155,0.156595424024225,0.156595424024225,0.156595424024225,0.105285332551039,2.181393011881013E-002,0.395793165817765,0.334688187934444,0.989793054949347 
 01/01  12:00:00,1.02051631823784,5.73370452559892,0.000000000000000E+000,4.84284638233506,0.129669499803206,0.129669499803206,0.129669499803206,0.105285332551039,2.181393011881013E-002,0.413608816278677,0.334790727207709,0.867796483227242 
 01/01  13:00:00,0.987209306985225,5.12762674776234,0.000000000000000E+000,4.33061136219698,0.115954165142732,0.115954165142732,0.115954165142732,0.105285332551039,2.181393011881013E-002,0.399656799716067,0.329151067178176,0.774342206785089 
 01/01  14:00:00,0.953538378673562,4.81530917297998,0.000000000000000E+000,4.07544900456882,0.109122072470345,0.109122072470345,0.109122072470345,0.105285332551039,2.181393011881013E-002,0.361436104744461,0.340532926510507,0.716402963822615 
 01/01  15:00:00,0.945617452435298,4.60809712732372,0.000000000000000E+000,3.92168606840379,0.105004997211976,0.105004997211976,0.105004997211976,0.110826626018020,2.296203770497546E-002,0.331768008611008,0.359707770610917,0.661633018059749 
 01/01  16:00:00,1.00467460917967,4.52069700045568,0.000000000000000E+000,3.82682229153452,0.102464974769606,0.102464974769606,0.102464974769606,0.138533299719761,2.870253287892793E-002,0.339922860635529,0.379702928897442,0.667719325424791 
 01/01  17:00:00,1.23278279569358,4.41842198520723,0.000000000000000E+000,3.64952000610492,9.771762231393391E-002,9.771762231393391E-002,9.771762231393391E-002,0.232735907758947,4.822026207769880E-002,0.389638974367272,0.449122016897326,0.737964744504940 
 01/01  18:00:00,1.67732932244866,5.17941431434897,0.000000000000000E+000,4.26404228342924,0.114171746609355,0.114171746609355,0.114171746609355,0.432223917138118,8.955192139527980E-002,0.480422251988538,0.545611473038965,0.877788235190840 
 01/01  19:00:00,1.95656243127290,5.17505295635961,0.000000000000000E+000,4.11855859685771,0.110276352170236,0.110276352170236,0.110276352170236,0.642794513451249,0.133179781632900,0.432594366092666,0.592369381647454,1.01568970099299 
 01/01  20:00:00,1.88024783489858,4.11460532088729,0.000000000000000E+000,3.02765417476571,8.106687089043343E-002,8.106687089043343E-002,8.106687089043343E-002,0.681583842875899,0.141216491979183,0.349590930400065,0.611441686474602,1.04483271463663 
 01/01  21:00:00,1.74113738007538,3.75925346897101,0.000000000000000E+000,2.74567161368808,7.351665459996051E-002,7.351665459996051E-002,7.351665459996051E-002,0.587381166047768,0.121698762780412,0.310730546875078,0.632462237493769,0.970015448206090 
 01/01  22:00:00,1.59932658527320,3.78701301633902,0.000000000000000E+000,2.87475874811594,7.697302360917489E-002,7.697302360917489E-002,7.697302360917489E-002,0.493178558008581,0.102181033581641,0.293949375651685,0.617696582143720,0.869704975708346 
 01/01  23:00:00,1.31424376696089,3.81528032093415,0.000000000000000E+000,3.06221234659956,8.199218226767500E-002,8.199218226767500E-002,8.199218226767500E-002,0.371269276267653,7.692280920891813E-002,0.234174255411816,0.534537231526429,0.716247014527262 
 01/01  24:00:00,1.02936227484866,3.95145228045160,0.000000000000000E+000,3.37404467807472,9.034164026253216E-002,9.034164026253216E-002,9.034164026253216E-002,0.254901287993707,5.281267817006874E-002,0.151455748256992,0.464502907886960,0.545410873443972 
 01/02  01:00:00,0.748234405443868,4.17808791073482,0.000000000000000E+000,3.80034558590465,0.101756048467920,0.101756048467920,0.101756048467920,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351276156328739 
 01/02  02:00:00,0.646138720844024,4.45478917757971,0.000000000000000E+000,4.15078849744886,0.111139322985004,0.111139322985004,0.111139322985004,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279632310413739 
 01/02  03:00:00,0.610050268358913,4.70743675984984,0.000000000000000E+000,4.42321590554087,0.118433695540126,0.118433695540126,0.118433695540126,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.260135016414673 
 01/02  04:00:00,0.605053892390852,4.97531115778091,0.000000000000000E+000,4.68576005055540,0.125463439057177,0.125463439057177,0.125463439057177,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265804307518587 
 01/02  05:00:00,0.609160795477749,5.27770450587473,0.000000000000000E+000,4.93183227374644,0.132052139085540,0.132052139085540,0.132052139085540,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.323022470958753 
 01/02  06:00:00,0.665447812310407,5.71747851281148,0.000000000000000E+000,5.11875707301352,0.137057138895194,0.137057138895194,0.137057138895194,5.541331988790434E-002,1.148101600202945E-002,7.598154876300982E-002,0.370166776483870,0.573222942789651 
 01/02  07:00:00,0.862793823972374,6.15432465213228,0.000000000000000E+000,5.08448143311359,0.136139392443961,0.136139392443961,0.136139392443961,0.127450643996854,2.640633195888867E-002,0.129758134509170,0.427691308785101,1.04038221319549 
 01/02  08:00:00,1.13981209929504,6.17539209484392,0.000000000000000E+000,4.97472335246708,0.133200567981407,0.133200567981407,0.133200567981407,0.260442581460688,5.396077150394267E-002,0.207406094963531,0.454454059107065,1.16936421640983 
 01/02  09:00:00,1.10063298482853,6.06811284487617,0.000000000000000E+000,4.90579411623557,0.131354955116924,0.131354955116924,0.131354955116924,0.249359925737781,5.166457058390340E-002,0.268690864190452,0.384214656921069,1.13585256013913 
 01/02  10:00:00,0.955930447525880,5.89955421024993,0.000000000000000E+000,4.84375980574416,0.129693957146515,0.129693957146515,0.129693957146515,0.127450643996854,2.640633195888867E-002,0.330033759705594,0.326997742439629,1.03326955493246 
 01/02  11:00:00,0.971538101967271,6.51905483840531,0.000000000000000E+000,5.58442969281546,0.149525743289095,0.149525743289095,0.149525743289095,0.105285332551039,2.181393011881013E-002,0.344876895795482,0.334688187934444,0.911570548848783 
 01/02  12:00:00,0.951361106607212,5.04626377312215,0.000000000000000E+000,4.22039573602580,0.113003089682597,0.113003089682597,0.113003089682597,0.105285332551039,2.181393011881013E-002,0.361120014768658,0.334790727207709,0.802806377059727 
 01/02  13:00:00,0.912286261425742,4.05870905134256,0.000000000000000E+000,3.31802414123486,8.884166392274344E-002,8.884166392274344E-002,8.884166392274344E-002,0.105285332551039,2.181393011881013E-002,0.351846255376571,0.329151067178176,0.718011731327453 
 01/02  14:00:00,0.873924703715556,3.42098312995581,0.000000000000000E+000,2.72997853101540,7.309646489748320E-002,7.309646489748320E-002,7.309646489748320E-002,0.105285332551039,2.181393011881013E-002,0.317848037359318,0.340532926510507,0.667547394351877 
 01/02  15:00:00,0.874628405201737,3.37390248694069,0.000000000000000E+000,2.73166248100773,7.314155345407984E-002,7.314155345407984E-002,7.314155345407984E-002,0.110826626018020,2.296203770497546E-002,0.292642405135342,0.359707770610917,0.617461965072805 
 01/02  16:00:00,0.939227412715857,3.41652476762610,0.000000000000000E+000,2.76659099091655,7.407678080823862E-002,7.407678080823862E-002,7.407678080823862E-002,0.138533299719761,2.870253287892793E-002,0.302863858133087,0.379702928897442,0.623778393213190 
 01/02  17:00:00,1.18036767347826,3.74845844873297,0.000000000000000E+000,3.03338991633413,8.122044808067592E-002,8.122044808067592E-002,8.122044808067592E-002,0.232735907758947,4.822026207769880E-002,0.353721026385214,0.449122016897326,0.684131297801492 
 01/02  18:00:00,1.64461929039504,5.21331995855241,0.000000000000000E+000,4.36271193154875,0.116813673052466,0.116813673052466,0.116813673052466,0.432223917138118,8.955192139527980E-002,0.445070293491817,0.545611473038965,0.813024231274754 
 01/02  19:00:00,1.90796465261188,4.55772240339773,0.000000000000000E+000,3.58495696912006,9.598891649701148E-002,9.598891649701148E-002,9.598891649701148E-002,0.642794513451249,0.133179781632900,0.398284023104866,0.592369381647454,0.931960775768794 
 01/02  20:00:00,1.86068789980551,4.56945035098713,0.000000000000000E+000,3.57609814838751,9.575171738670595E-002,9.575171738670595E-002,9.575171738670595E-002,0.681583842875899,0.141216491979183,0.315346148810717,0.611441686474602,0.951233771114677 
 01/02  21:00:00,1.73836636681779,4.86822122845842,0.000000000000000E+000,3.94394682752858,0.105601039554240,0.105601039554240,0.105601039554240,0.587381166047768,0.121698762780412,0.275875148663200,0.632462237493769,0.880707993853012 
 01/02  22:00:00,1.60646270404347,5.30844032249858,0.000000000000000E+000,4.47110797528332,0.119716028333232,0.119716028333232,0.119716028333232,0.493178558008581,0.102181033581641,0.258342489697899,0.617696582143720,0.794783054700518 
 01/02  23:00:00,1.33927219615722,5.74787215180199,0.000000000000000E+000,5.05364924431794,0.135313846022840,0.135313846022840,0.135313846022840,0.371269276267653,7.692280920891813E-002,0.205881020852975,0.534537231526429,0.657401947676751 
 01/02  24:00:00,1.07518443348132,6.20642285576103,0.000000000000000E+000,5.66558282186844,0.151698656658832,0.151698656658832,0.151698656658832,0.254901287993707,5.281267817006874E-002,0.135920890493347,0.464502907886960,0.508843304959729 
 01/03  01:00:00,0.814948428405193,6.66993180205587,0.000000000000000E+000,6.29195514127122,0.168470071429246,0.168470071429246,0.168470071429246,0.132991937463835,2.755443954505400E-002,8.636931076758889E-002,0.384214656921069,0.351510492283199 
 01/03  02:00:00,0.719619551646242,7.19933687079403,0.000000000000000E+000,6.89512217777894,0.184620153787221,0.184620153787221,0.184620153787221,7.757865884929742E-002,1.607342069256627E-002,7.223881327716383E-002,0.353760492761593,0.279846323297985 
 01/03  03:00:00,0.690792195762703,7.72310486178056,0.000000000000000E+000,7.43873421650561,0.199175622943916,0.199175622943916,0.199175622943916,5.541331988790434E-002,1.148101600202945E-002,5.971530281942931E-002,0.349658921831025,0.260284807380629 
 01/03  04:00:00,0.691585164100983,8.20715207151899,0.000000000000000E+000,7.91749655602701,0.211994710767308,0.211994710767308,0.211994710767308,5.541331988790434E-002,1.148101600202945E-002,5.261106845099969E-002,0.344737036714339,0.265908715785050 
 01/03  05:00:00,0.696294813577255,8.53206158163619,0.000000000000000E+000,8.18607991850428,0.219186157185045,0.219186157185045,0.219186157185045,5.541331988790434E-002,1.148101600202945E-002,6.315175921409334E-002,0.331714549009782,0.323131901962379 
