Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.957493738298136,8.57031192740078,0.000000000000000E+000,8.11446833518800,0.000000000000000E+000,0.236699555726896,0.236699555726896,0.236699555726896,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.427334079819693 
 01/01  02:00:00,0.835032229815777,8.78673532415769,0.000000000000000E+000,8.42435648801413,0.000000000000000E+000,0.245813580666466,0.245813580666466,0.245813580666466,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.336129084940942 
 01/01  03:00:00,0.790615700818738,8.99435092720301,0.000000000000000E+000,8.65839593559935,0.000000000000000E+000,0.252479054038969,0.252479054038969,0.252479054038969,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.310009585342517 
 01/01  04:00:00,0.780271515086996,9.11349714784602,0.000000000000000E+000,8.77127702217559,0.000000000000000E+000,0.255787290601240,0.255787290601240,0.255787290601240,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.316639933339072 
 01/01  05:00:00,0.783276409653799,9.36430551811331,0.000000000000000E+000,8.94897672486410,0.000000000000000E+000,0.260974883365904,0.260974883365904,0.260974883365904,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.390714896107050 
 01/01  06:00:00,0.839400789791503,9.69893915816123,0.000000000000000E+000,8.96285845846931,0.000000000000000E+000,0.261419305566599,0.261419305566599,0.261419305566599,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.708613568723396 
 01/01  07:00:00,1.09163461822841,11.0948709062259,0.000000000000000E+000,9.75746138641228,0.000000000000000E+000,0.284763286779308,0.284763286779308,0.284763286779308,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30567395104082 
 01/01  08:00:00,1.41736376780642,11.1591152448404,0.000000000000000E+000,9.64691179009137,0.000000000000000E+000,0.281652798918428,0.281652798918428,0.281652798918428,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47848203523305 
 01/01  09:00:00,1.35466904938467,10.1735201723809,0.000000000000000E+000,8.69972141413590,0.000000000000000E+000,0.253468380088822,0.253468380088822,0.253468380088822,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44528924585192 
 01/01  10:00:00,1.17356526784973,9.59439297912041,0.000000000000000E+000,8.25207467863327,0.000000000000000E+000,0.240490035880003,0.240490035880003,0.240490035880003,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31805440002766 
 01/01  11:00:00,1.15797634065748,9.03343112080978,0.000000000000000E+000,7.84725435792669,0.000000000000000E+000,0.228691999883568,0.228691999883568,0.228691999883568,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16134221565838 
 01/01  12:00:00,1.12507515432248,7.16241455137642,0.000000000000000E+000,6.11942110910186,0.000000000000000E+000,0.177864697406960,0.177864697406960,0.177864697406960,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01815128642629 
 01/01  13:00:00,1.08578083449457,6.38542824874012,0.000000000000000E+000,5.45107192348205,0.000000000000000E+000,0.158598006580224,0.158598006580224,0.158598006580224,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.909932643704332 
 01/01  14:00:00,1.04282975763103,5.73528758498284,0.000000000000000E+000,4.86791114180205,0.000000000000000E+000,0.141605934130456,0.141605934130456,0.141605934130456,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.842108204414458 
 01/01  15:00:00,1.04630162048786,5.81559971241541,0.000000000000000E+000,5.01099271799183,0.000000000000000E+000,0.145887753160720,0.145887753160720,0.145887753160720,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.777915943055804 
 01/01  16:00:00,1.12319862285903,6.03214732824084,0.000000000000000E+000,5.21857070571592,0.000000000000000E+000,0.152084011037566,0.152084011037566,0.152084011037566,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.785401889567456 
 01/01  17:00:00,1.39454994010956,6.37368056169001,0.000000000000000E+000,5.47272919012927,0.000000000000000E+000,0.159516782796009,0.159516782796009,0.159516782796009,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.867625600468720 
 01/01  18:00:00,1.91391898744834,7.54354408143141,0.000000000000000E+000,6.47292807007578,0.000000000000000E+000,0.188917899784690,0.188917899784690,0.188917899784690,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03013052551532 
 01/01  19:00:00,2.23499487967343,6.92989635535420,0.000000000000000E+000,5.69688948608825,0.000000000000000E+000,0.165810842784830,0.165810842784830,0.165810842784830,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18905185109279 
 01/01  20:00:00,2.20163805076542,7.01922242421661,0.000000000000000E+000,5.75122725737379,0.000000000000000E+000,0.167503758693831,0.167503758693831,0.167503758693831,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22262494469175 
 01/01  21:00:00,2.05855962233915,7.36002038677560,0.000000000000000E+000,6.17677166630413,0.000000000000000E+000,0.180057433387165,0.180057433387165,0.180057433387165,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13631873049532 
 01/01  22:00:00,1.89915219238246,7.67693974103957,0.000000000000000E+000,6.61153311043412,0.000000000000000E+000,0.192755482193361,0.192755482193361,0.192755482193361,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01957228241864 
 01/01  23:00:00,1.58443937867284,8.00631376543978,0.000000000000000E+000,7.12729079413830,0.000000000000000E+000,0.207827706430983,0.207827706430983,0.207827706430983,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.839359216803150 
 01/01  24:00:00,1.26246687814228,8.08936996134724,0.000000000000000E+000,7.41640089233397,0.000000000000000E+000,0.216243067769644,0.216243067769644,0.216243067769644,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.638502004390709 
 01/02  01:00:00,0.941727873393640,8.24361916283969,0.000000000000000E+000,7.80396386667171,0.000000000000000E+000,0.227507379158146,0.227507379158146,0.227507379158146,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.411145783774894 
 01/02  02:00:00,0.818474869642552,8.35038311212401,0.000000000000000E+000,7.99671633820526,0.000000000000000E+000,0.233203247726205,0.233203247726205,0.233203247726205,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.327417022716111 
 01/02  03:00:00,0.773172276767246,8.48112693285028,0.000000000000000E+000,8.15126798767539,0.000000000000000E+000,0.237646870503698,0.237646870503698,0.237646870503698,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.303913538913756 
 01/02  04:00:00,0.792730792211226,9.57367192064066,0.000000000000000E+000,9.23770378147295,0.000000000000000E+000,0.269611972989768,0.269611972989768,0.269611972989768,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.310387946836353 
 01/02  05:00:00,0.793173773932698,9.77628013899855,0.000000000000000E+000,9.37440228371635,0.000000000000000E+000,0.273543405397202,0.273543405397202,0.273543405397202,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.377263958140033 
 01/02  06:00:00,0.848159902099259,10.1029681275604,0.000000000000000E+000,9.40655224357083,0.000000000000000E+000,0.274275113751881,0.274275113751881,0.274275113751881,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.668948753021019 
 01/02  07:00:00,1.06753571474511,10.5489279715087,0.000000000000000E+000,9.30138006251615,0.000000000000000E+000,0.271289904013913,0.271289904013913,0.271289904013913,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.21581234021979 
 01/02  08:00:00,1.39262064345100,10.9379100976110,0.000000000000000E+000,9.53551898781625,0.000000000000000E+000,0.278071053411665,0.278071053411665,0.278071053411665,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.36866969027885 
 01/02  09:00:00,1.31973265883199,9.96931415939675,0.000000000000000E+000,8.61013618917644,0.000000000000000E+000,0.250969316378178,0.250969316378178,0.250969316378178,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.33066845782722 
 01/02  10:00:00,1.10281284658060,8.61608398177464,0.000000000000000E+000,7.37990117074421,0.000000000000000E+000,0.214768709101607,0.214768709101607,0.214768709101607,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.21191891057096 
 01/02  11:00:00,1.09183050870366,8.42022204224908,0.000000000000000E+000,7.32466398664656,0.000000000000000E+000,0.213462437952036,0.213462437952036,0.213462437952036,0.127943541580951,2.787563787674246E-002,0.344876895795482,0.360559981808849,1.07072350837780 
 01/02  12:00:00,1.04962339864558,6.30468649521174,0.000000000000000E+000,5.33708574519865,0.000000000000000E+000,0.154901743240081,0.154901743240081,0.154901743240081,0.127943541580951,2.787563787674246E-002,0.361120014768658,0.360670447489552,0.942758594164828 
 01/02  13:00:00,1.00619628449082,5.23651675734755,0.000000000000000E+000,4.36720231827609,0.000000000000000E+000,0.126824000915972,0.126824000915972,0.126824000915972,0.127943541580951,2.787563787674246E-002,0.351846255376571,0.354594835050983,0.844890757517743 
 01/02  14:00:00,0.972767507965414,4.77235996523864,0.000000000000000E+000,3.96103949058442,0.000000000000000E+000,0.115131751849981,0.115131751849981,0.115131751849981,0.127943541580951,2.787563787674246E-002,0.317848037359318,0.366856525608822,0.786052235887877 
 01/02  15:00:00,0.970146105937903,4.49832877049883,0.000000000000000E+000,3.74385697722082,0.000000000000000E+000,0.108857842086432,0.108857842086432,0.108857842086432,0.134677451787115,2.934278533945949E-002,0.292642405135342,0.387513607899952,0.727780741910256 
 01/02  16:00:00,1.05629036141519,4.95999115007416,0.000000000000000E+000,4.19607549296068,0.000000000000000E+000,0.122234752096170,0.122234752096170,0.122234752096170,0.168346835632121,3.667848622751551E-002,0.302863858133087,0.409054415636696,0.735740924156005 
 01/02  17:00:00,1.35415434492332,6.15147251317074,0.000000000000000E+000,5.31136026795943,0.000000000000000E+000,0.155039135591832,0.155039135591832,0.155039135591832,0.282822640393651,6.161984739158848E-002,0.353721026385214,0.483839681471435,0.806786474119296 
 01/02  18:00:00,1.90756558004734,8.45043507470593,0.000000000000000E+000,7.45355280148011,0.000000000000000E+000,0.217916450880413,0.217916450880413,0.217916450880413,0.525242070329039,0.114436864645168,0.445070293491817,0.587787887011303,0.956396787385501 
 01/02  19:00:00,2.24269632639461,8.27086661148711,0.000000000000000E+000,7.13495430102257,0.000000000000000E+000,0.207822632493806,0.207822632493806,0.207822632493806,0.781129237083851,0.170188158611418,0.398284023104866,0.638160237411070,1.09195729229134 
 01/02  20:00:00,2.21875675920376,8.66585892484343,0.000000000000000E+000,7.50681631474664,0.000000000000000E+000,0.218867248721524,0.218867248721524,0.218867248721524,0.828266357748276,0.180458136212143,0.315346148810717,0.658706854021501,1.11367238794571 
 01/02  21:00:00,2.06717167391999,8.74521355682036,0.000000000000000E+000,7.66651847931696,0.000000000000000E+000,0.223524883179886,0.223524883179886,0.223524883179886,0.713790552986747,0.155516756835306,0.275875148663200,0.681352318565255,1.03176508752726 
 01/02  22:00:00,1.91306957034201,9.28246738411024,0.000000000000000E+000,8.30502102867559,0.000000000000000E+000,0.242279746106699,0.242279746106699,0.242279746106699,0.599314664632309,0.130575395671233,0.258342489697899,0.665445260544277,0.931612007247829 
