Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.990861704303021,10.2634306833885,0.000000000000000E+000,9.80876506005658,0.000000000000000E+000,0.270067521731779,0.270067521731779,0.270067521731779,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.426156110938788 
 01/01  02:00:00,0.859695389846759,10.1848471397372,0.000000000000000E+000,9.82362776056437,0.000000000000000E+000,0.270476740697449,0.270476740697449,0.270476740697449,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.334969627970280 
 01/01  03:00:00,0.809072225470365,10.1757290275702,0.000000000000000E+000,9.84029260810526,0.000000000000000E+000,0.270935578690596,0.270935578690596,0.270935578690596,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.309491013203749 
 01/01  04:00:00,0.788736211172097,9.93952671520101,0.000000000000000E+000,9.59754670772217,0.000000000000000E+000,0.264251986686341,0.264251986686341,0.264251986686341,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.316399815147508 
 01/01  05:00:00,0.784567195311323,9.94068558462080,0.000000000000000E+000,9.52540429250231,0.000000000000000E+000,0.262265669023427,0.262265669023427,0.262265669023427,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.390667394976321 
 01/01  06:00:00,0.838367607946033,10.1934118887602,0.000000000000000E+000,9.45713981489408,0.000000000000000E+000,0.260386123721129,0.260386123721129,0.260386123721129,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.708804942897559 
 01/01  07:00:00,1.05715942282513,10.4282131614635,0.000000000000000E+000,9.09038254542755,0.000000000000000E+000,0.250288091376029,0.250288091376029,0.250288091376029,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30609504726317 
 01/01  08:00:00,1.39268485154031,10.8457419382530,0.000000000000000E+000,9.33320832265963,0.000000000000000E+000,0.256973882652315,0.256973882652315,0.256973882652315,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47881219607743 
 01/01  09:00:00,1.33222065788159,9.86533542346341,0.000000000000000E+000,8.39057128263296,0.000000000000000E+000,0.231019988585745,0.231019988585745,0.231019988585745,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44625462843735 
 01/01  10:00:00,1.15725303168628,9.48570490824933,0.000000000000000E+000,8.14206519539942,0.000000000000000E+000,0.224177799716554,0.224177799716554,0.224177799716554,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31937581239045 
 01/01  11:00:00,1.19100385001577,10.6931870083568,0.000000000000000E+000,9.50556794584241,0.000000000000000E+000,0.261719509241858,0.261719509241858,0.261719509241858,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16278451528965 
 01/01  12:00:00,1.15259155043969,8.50285570729173,0.000000000000000E+000,7.45937490460940,0.000000000000000E+000,0.205381093524169,0.205381093524169,0.205381093524169,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01863864683408 
 01/01  13:00:00,1.11306049941195,7.68542788960534,0.000000000000000E+000,6.75101692324600,0.000000000000000E+000,0.185877671497601,0.185877671497601,0.185877671497601,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.909987284805607 
 01/01  14:00:00,1.07973051532200,7.35071484526403,0.000000000000000E+000,6.48330532489280,0.000000000000000E+000,0.178506691821421,0.178506691821421,0.178506691821421,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.842141281604872 
 01/01  15:00:00,1.08471159832974,7.49887973415457,0.000000000000000E+000,6.69363399535833,0.000000000000000E+000,0.184297731002600,0.184297731002600,0.184297731002600,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.778554687428493 
 01/01  16:00:00,1.15792051278935,7.59845256892661,0.000000000000000E+000,6.78472991745370,0.000000000000000E+000,0.186805900967885,0.186805900967885,0.186805900967885,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.785547918515424 
 01/01  17:00:00,1.44033864188813,8.35793767756365,0.000000000000000E+000,7.45662881200936,0.000000000000000E+000,0.205305484574583,0.205305484574583,0.205305484574583,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.867983094462256 
 01/01  18:00:00,1.98511777682991,10.5181807320589,0.000000000000000E+000,9.44735403898574,0.000000000000000E+000,0.260116689166258,0.260116689166258,0.260116689166258,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.03034120723285 
 01/01  19:00:00,2.29287742727752,9.35676567886266,0.000000000000000E+000,8.12447160525872,0.000000000000000E+000,0.223693390388920,0.223693390388920,0.223693390388920,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18833905543074 
 01/01  20:00:00,2.25843127007667,9.41372056633418,0.000000000000000E+000,8.14639371230137,0.000000000000000E+000,0.224296978005087,0.224296978005087,0.224296978005087,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22195663188176 
 01/01  21:00:00,2.11271045810618,9.68909759786324,0.000000000000000E+000,8.50636860191430,0.000000000000000E+000,0.234208269154197,0.234208269154197,0.234208269154197,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13579900597278 
 01/01  22:00:00,1.95526278182332,10.1037032238684,0.000000000000000E+000,9.03873524823033,0.000000000000000E+000,0.248866071634217,0.248866071634217,0.248866071634217,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01913362745118 
 01/01  23:00:00,1.63909390600050,10.4118498468021,0.000000000000000E+000,9.53326985365670,0.000000000000000E+000,0.262482233758639,0.262482233758639,0.262482233758639,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.838916238647098 
 01/01  24:00:00,1.32221079624029,10.6959237320699,0.000000000000000E+000,10.0237580833490,0.000000000000000E+000,0.275986985867652,0.275986985867652,0.275986985867652,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.637698584098309 
 01/02  01:00:00,1.00391309695797,10.9605687671017,0.000000000000000E+000,10.5215416556575,0.000000000000000E+000,0.289692602722477,0.289692602722477,0.289692602722477,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.410517599051105 
 01/02  02:00:00,0.891203629036499,11.4644049738885,0.000000000000000E+000,11.1113515721946,0.000000000000000E+000,0.305932007120152,0.305932007120152,0.305932007120152,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.326803650491217 
 01/02  03:00:00,0.849223518919910,11.7224197833183,0.000000000000000E+000,11.3934140140159,0.000000000000000E+000,0.313698112656362,0.313698112656362,0.313698112656362,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.303060363041199 
 01/02  04:00:00,0.848561560208316,12.1550572524359,0.000000000000000E+000,11.8199751172275,0.000000000000000E+000,0.325442740986857,0.325442740986857,0.325442740986857,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.309501942877101 
 01/02  05:00:00,0.854548060310054,12.5652869651625,0.000000000000000E+000,12.1641022660095,0.000000000000000E+000,0.334917691774558,0.334917691774558,0.334917691774558,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.376570802010859 
 01/02  06:00:00,0.920155211008449,13.2729757677413,0.000000000000000E+000,12.5764297807798,0.000000000000000E+000,0.346270422661072,0.346270422661072,0.346270422661072,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.669078855992976 
 01/02  07:00:00,1.17409726325559,14.9709102005196,0.000000000000000E+000,13.7234425733498,0.000000000000000E+000,0.377851452524401,0.377851452524401,0.377851452524401,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.21573205839701 
 01/02  08:00:00,1.47477593072042,14.4846760794444,0.000000000000000E+000,13.0833042104703,0.000000000000000E+000,0.360226340681086,0.360226340681086,0.360226340681086,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.36765044945814 
 01/02  09:00:00,1.40183674903610,13.4554035547985,0.000000000000000E+000,12.0971184241955,0.000000000000000E+000,0.333073406582284,0.333073406582284,0.333073406582284,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.32977561820985 
 01/02  10:00:00,1.18302414800872,11.9489174905711,0.000000000000000E+000,10.7135785974762,0.000000000000000E+000,0.294980010529720,0.294980010529720,0.294980010529720,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.21107499263534 
 01/02  11:00:00,1.18749817742021,12.3220582927857,0.000000000000000E+000,11.2275055136536,0.000000000000000E+000,0.309130106668579,0.309130106668579,0.309130106668579,0.127943541580951,2.787563787674246E-002,0.344876895795482,0.360559981808849,1.06971823190733 
 01/02  12:00:00,1.13078997687281,9.54008159088369,0.000000000000000E+000,8.57392510045840,0.000000000000000E+000,0.236068321467304,0.236068321467304,0.236068321467304,0.127943541580951,2.787563787674246E-002,0.361120014768658,0.360670447489552,0.941314334577004 
 01/02  13:00:00,1.09226427621561,8.59998269734024,0.000000000000000E+000,7.73216833179377,0.000000000000000E+000,0.212891992640758,0.212891992640758,0.212891992640758,0.127943541580951,2.787563787674246E-002,0.351846255376571,0.354594835050983,0.843390683992744 
 01/02  14:00:00,1.06921845413199,8.49437462453640,0.000000000000000E+000,7.68461517441728,0.000000000000000E+000,0.211582698016556,0.211582698016556,0.211582698016556,0.127943541580951,2.787563787674246E-002,0.317848037359318,0.366856525608822,0.784491211352800 
 01/02  15:00:00,1.07449971031195,8.49608849006110,0.000000000000000E+000,7.74377079122729,0.000000000000000E+000,0.213211446460482,0.213211446460482,0.213211446460482,0.134677451787115,2.934278533945949E-002,0.292642405135342,0.387513607899952,0.725626647466062 
 01/02  16:00:00,1.15007439220240,8.60670700032981,0.000000000000000E+000,7.84573234232457,0.000000000000000E+000,0.216018782883382,0.216018782883382,0.216018782883382,0.168346835632121,3.667848622751551E-002,0.302863858133087,0.409054415636696,0.732799925047779 
 01/02  17:00:00,1.42049583934613,8.87735729325226,0.000000000000000E+000,8.04047289632111,0.000000000000000E+000,0.221380630014647,0.221380630014647,0.221380630014647,0.282822640393651,6.161984739158848E-002,0.353721026385214,0.483839681471435,0.803558625839150 
 01/02  18:00:00,1.95114877638765,10.4918120125152,0.000000000000000E+000,9.49758262832941,0.000000000000000E+000,0.261499647220720,0.261499647220720,0.261499647220720,0.525242070329039,0.114436864645168,0.445070293491817,0.587787887011303,0.953743898345441 
 01/02  19:00:00,2.25745878870919,9.21866627722895,0.000000000000000E+000,8.08421866815293,0.000000000000000E+000,0.222585094808383,0.222585094808383,0.222585094808383,0.781129237083851,0.170188158611418,0.398284023104866,0.638160237411070,1.09049259090284 
 01/02  20:00:00,2.21844969979003,9.09587520318892,0.000000000000000E+000,7.93803540186791,0.000000000000000E+000,0.218560189307790,0.218560189307790,0.218560189307790,0.828266357748276,0.180458136212143,0.315346148810717,0.658706854021501,1.11246957916994 
 01/02  21:00:00,2.06324845775279,9.05445323153804,0.000000000000000E+000,7.97586153533665,0.000000000000000E+000,0.219601667012684,0.219601667012684,0.219601667012684,0.713790552986747,0.155516756835306,0.275875148663200,0.681352318565255,1.03166170622524 
 01/02  22:00:00,1.89177217493566,9.00365863568259,0.000000000000000E+000,8.02600752041357,0.000000000000000E+000,0.220982350700345,0.220982350700345,0.220982350700345,0.599314664632309,0.130575395671233,0.258342489697899,0.665445260544277,0.931816767082206 
 01/02  23:00:00,1.58087188656648,9.25624717019273,0.000000000000000E+000,8.44626606478503,0.000000000000000E+000,0.232553448883459,0.232553448883459,0.232553448883459,0.451169476025773,9.829833361910398E-002,0.205881020852975,0.575857593495570,0.770317350909368 
 01/02  24:00:00,1.28096243550965,9.72006134098371,0.000000000000000E+000,9.08985197032606,0.000000000000000E+000,0.250273482900663,0.250273482900663,0.250273482900663,0.309758114032493,6.748840081692746E-002,0.135920890493347,0.500409533576620,0.595742306035086 
 01/03  01:00:00,0.979651271319609,10.0804124780535,0.000000000000000E+000,9.64035999379474,0.000000000000000E+000,0.265430777084115,0.265430777084115,0.265430777084115,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.411542971865664 
 01/03  02:00:00,0.860263413979369,10.3408903194388,0.000000000000000E+000,9.98761296617148,0.000000000000000E+000,0.274991792063022,0.274991792063022,0.274991792063022,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.327027602064692 
 01/03  03:00:00,0.819357553173879,10.6382576563148,0.000000000000000E+000,10.3086917956017,0.000000000000000E+000,0.283832146910330,0.283832146910330,0.283832146910330,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.303620454451958 
 01/03  04:00:00,0.812361487896745,10.8407960795329,0.000000000000000E+000,10.5052001965545,0.000000000000000E+000,0.289242668675286,0.289242668675286,0.289242668675286,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.310015690646999 
 01/03  05:00:00,0.803344211851125,10.7059618392229,0.000000000000000E+000,10.3043950472970,0.000000000000000E+000,0.283713843315629,0.283713843315629,0.283713843315629,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.376952894783788 
 01/03  06:00:00,0.854329441887062,10.8833126816232,0.000000000000000E+000,10.1856591317624,0.000000000000000E+000,0.280444653539685,0.280444653539685,0.280444653539685,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.670186418892295 
 01/03  07:00:00,1.06975582287278,11.1837487733271,0.000000000000000E+000,9.93379519857461,0.000000000000000E+000,0.273510012141591,0.273510012141591,0.273510012141591,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.21821800597969 
 01/03  08:00:00,1.38090006375229,11.0789102178953,0.000000000000000E+000,9.67376307796060,0.000000000000000E+000,0.266350473712961,0.266350473712961,0.266350473712961,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.37142572041878 
 01/03  09:00:00,1.33041622277160,10.8652029589097,0.000000000000000E+000,9.50314800486541,0.000000000000000E+000,0.261652880317790,0.261652880317790,0.261652880317790,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.33354544165115 
 01/03  10:00:00,1.14478045942778,10.5631663847000,0.000000000000000E+000,9.32458019472530,0.000000000000000E+000,0.256736321948786,0.256736321948786,0.256736321948786,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.21432228951522 
