Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.34504889266599,23.1152015081045,0.000000000000000E+000,22.6727292111581,0.000000000000000E+000,0.624254710094755,0.624254710094755,0.624254710094755,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.413962784553302 
 01/01  02:00:00,1.22367712093831,23.3921181612222,0.000000000000000E+000,23.0433265363966,0.000000000000000E+000,0.634458471788994,0.634458471788994,0.634458471788994,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.322541873622915 
 01/01  03:00:00,1.17637511480636,23.5038475970827,0.000000000000000E+000,23.1806147774438,0.000000000000000E+000,0.638238468026594,0.638238468026594,0.638238468026594,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.297287413377827 
 01/01  04:00:00,1.16376748714653,23.5483175990066,0.000000000000000E+000,23.2185613807115,0.000000000000000E+000,0.639283262660773,0.639283262660773,0.639283262660773,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.304176025963679 
 01/01  05:00:00,1.16381187170703,23.7022667660800,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.378204562593780 
 01/01  06:00:00,1.21949182964404,24.0231444950261,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.696229057713456 
 01/01  07:00:00,1.44838167686824,24.6245814952906,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.29339762017374 
 01/01  08:00:00,1.77722131430713,24.7993565137885,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.46618678792847 
 01/01  09:00:00,1.74271101471498,24.7617991100281,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.43384129129087 
 01/01  10:00:00,1.57458557738886,24.6301776676765,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.30646546087292 
 01/01  11:00:00,1.57079468619305,24.4739508078207,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.14966795425187 
 01/01  12:00:00,1.58872080233466,24.3306732210931,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.00638275890078 
 01/01  13:00:00,1.56734540961525,24.1715813294658,0.000000000000000E+000,23.2504979639120,0.000000000000000E+000,0.640162581700908,0.640162581700908,0.640162581700908,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.896659684000076 
 01/01  14:00:00,1.53404902999462,23.8372241357744,0.000000000000000E+000,22.9840068690178,0.000000000000000E+000,0.632825206494041,0.632825206494041,0.632825206494041,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.827949027990237 
 01/01  15:00:00,1.52837057214206,23.5974908707167,0.000000000000000E+000,22.8071844623148,0.000000000000000E+000,0.627956704814926,0.627956704814926,0.627956704814926,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.763615357034122 
 01/01  16:00:00,1.59972832930156,23.6296700165017,0.000000000000000E+000,22.8310469498619,0.000000000000000E+000,0.628613717480099,0.628613717480099,0.628613717480099,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.770448333682349 
 01/01  17:00:00,1.85457494570170,23.3876044306209,0.000000000000000E+000,22.5015574187483,0.000000000000000E+000,0.619541788388154,0.619541788388154,0.619541788388154,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.852721240780575 
 01/01  18:00:00,2.33759710593230,23.3050036318752,0.000000000000000E+000,22.2492892939974,0.000000000000000E+000,0.612596018268648,0.612596018268648,0.612596018268648,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.01522885203745 
 01/01  19:00:00,2.67171144729164,23.1028113282414,0.000000000000000E+000,21.8836007121113,0.000000000000000E+000,0.602527410403040,0.602527410403040,0.602527410403040,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.17525559795685 
 01/01  20:00:00,2.63273976407427,22.9952548931886,0.000000000000000E+000,21.7411571776116,0.000000000000000E+000,0.598605472002689,0.598605472002689,0.598605472002689,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.20872749342597 
 01/01  21:00:00,2.47801853829003,22.9432099939931,0.000000000000000E+000,21.7742399478898,0.000000000000000E+000,0.599516349338046,0.599516349338046,0.599516349338046,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.12204005612716 
 01/01  22:00:00,2.31351223081790,23.1017540389481,0.000000000000000E+000,22.0502393918961,0.000000000000000E+000,0.607115520628800,0.607115520628800,0.607115520628800,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.00568029886521 
 01/01  23:00:00,1.99128739978249,23.1902262054058,0.000000000000000E+000,22.3248236622595,0.000000000000000E+000,0.614675727540630,0.614675727540630,0.614675727540630,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.825738788647983 
 01/01  24:00:00,1.67104980574916,23.3530065182820,0.000000000000000E+000,22.6934781078607,0.000000000000000E+000,0.624825995376524,0.624825995376524,0.624825995376524,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.625061345798799 
 01/02  01:00:00,1.34934783679679,23.4941464042803,0.000000000000000E+000,23.0676197065601,0.000000000000000E+000,0.635127342561298,0.635127342561298,0.635127342561298,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.398017185327019 
 01/02  02:00:00,1.22678196733549,23.6399450258428,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.314246968296068 
 01/02  03:00:00,1.17703575168268,23.6162652918101,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.290871579204866 
 01/02  04:00:00,1.16462916464059,23.6223741650078,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.297345666332337 
 01/02  05:00:00,1.16114071395463,23.6886181811473,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.364555977661060 
 01/02  06:00:00,1.21539513376651,23.9841082293946,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,6.733872589355760E-002,1.467139266972975E-002,7.598154876300982E-002,0.398781107331481,0.657192792081952 
 01/02  07:00:00,1.43775615615033,24.5352908522298,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.154879098812700,3.374420951484601E-002,0.129758134509170,0.460752354204875,1.20410697711288 
 01/02  08:00:00,1.75605993545847,24.6900911334206,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.316492024238656,6.895554827964449E-002,0.207406094963531,0.489583896867899,1.35692140756056 
 01/02  09:00:00,1.70676913360271,24.5195468541680,0.000000000000000E+000,23.1721640284842,0.000000000000000E+000,0.638005791148894,0.638005791148894,0.638005791148894,0.303024287419236,6.602127156697500E-002,0.268690864190452,0.413914905587548,1.31887331329070 
 01/02  10:00:00,1.52955448289813,24.5235113530722,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.154879098812700,3.374420951484601E-002,0.330033759705594,0.352275055756258,1.19979914626862 
 01/02  11:00:00,1.51987841617076,24.3822027487943,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.127943541580951,2.787563787674246E-002,0.344876895795482,0.360559981808849,1.05791989522545 
 01/02  12:00:00,1.53623200082464,24.2544199194212,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.127943541580951,2.787563787674246E-002,0.361120014768658,0.360670447489552,0.930129457228820 
 01/02  13:00:00,1.52088262899399,24.1543478085630,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.127943541580951,2.787563787674246E-002,0.351846255376571,0.354594835050983,0.830475820665142 
 01/02  14:00:00,1.48870761828259,23.7161220766293,0.000000000000000E+000,22.9203259700282,0.000000000000000E+000,0.631071862167158,0.631071862167158,0.631071862167158,0.127943541580951,2.787563787674246E-002,0.317848037359318,0.366856525608822,0.770527867834809 
 01/02  15:00:00,1.48673652578829,23.4544071918106,0.000000000000000E+000,22.7160786281140,0.000000000000000E+000,0.625448261936820,0.625448261936820,0.625448261936820,0.134677451787115,2.934278533945949E-002,0.292642405135342,0.387513607899952,0.711637512328790 
 01/02  16:00:00,1.56654511212866,23.7189947285193,0.000000000000000E+000,22.9718142197540,0.000000000000000E+000,0.632489502809645,0.632489502809645,0.632489502809645,0.168346835632121,3.667848622751551E-002,0.302863858133087,0.409054415636696,0.719005775807830 
 01/02  17:00:00,1.83193196593379,23.8068407303308,0.000000000000000E+000,22.9836999716823,0.000000000000000E+000,0.632816756602303,0.632816756602303,0.632816756602303,0.282822640393651,6.161984739158848E-002,0.353721026385214,0.483839681471435,0.789814987556521 
 01/02  18:00:00,2.33115947458606,24.2797571455089,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.525242070329039,0.114436864645168,0.445070293491817,0.587787887011303,0.939823353324467 
 01/02  19:00:00,2.65869959128250,23.7784946161372,0.000000000000000E+000,22.6571548720810,0.000000000000000E+000,0.623825897381696,0.623825897381696,0.623825897381696,0.781129237083851,0.170188158611418,0.398284023104866,0.638160237411070,1.07738472588302 
 01/02  20:00:00,2.62802655089918,23.9588135221550,0.000000000000000E+000,22.8137341930668,0.000000000000000E+000,0.628137040416947,0.628137040416947,0.628137040416947,0.828266357748276,0.180458136212143,0.315346148810717,0.658706854021501,1.09970910693716 
 01/02  21:00:00,2.46504287188658,23.6341497867940,0.000000000000000E+000,22.5689047321251,0.000000000000000E+000,0.621396081146478,0.621396081146478,0.621396081146478,0.713790552986747,0.155516756835306,0.275875148663200,0.681352318565255,1.01831506469271 
 01/02  22:00:00,2.29638167215277,23.6851225912742,0.000000000000000E+000,22.7212936245007,0.000000000000000E+000,0.625591847917458,0.625591847917458,0.625591847917458,0.599314664632309,0.130575395671233,0.258342489697899,0.665445260544277,0.917994618586668 
 01/02  23:00:00,1.97966531930004,23.7268135839863,0.000000000000000E+000,22.9303145875167,0.000000000000000E+000,0.631346881617021,0.631346881617021,0.631346881617021,0.451169476025773,9.829833361910398E-002,0.205881020852975,0.575857593495570,0.756835241971195 
 01/02  24:00:00,1.67026804088790,23.8459586360542,0.000000000000000E+000,23.2293056715038,0.000000000000000E+000,0.639579088278909,0.639579088278909,0.639579088278909,0.309758114032493,6.748840081692746E-002,0.135920890493347,0.500409533576620,0.582185899927764 
 01/03  01:00:00,1.35573083965463,23.7260287067876,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.398070888050447 
 01/03  02:00:00,1.22678196733549,23.6398606175978,0.000000000000000E+000,23.2994483063441,0.000000000000000E+000,0.641510345419135,0.641510345419135,0.641510345419135,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.314162560051078 
