Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.960321312087032,9.15008605719549,0.000000000000000E+000,8.69954789033661,0.000000000000000E+000,0.239527129515791,0.239527129515791,0.239527129515791,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.422028654465784 
 01/01  02:00:00,0.811175192365629,8.42028789071809,0.000000000000000E+000,8.06138987757810,0.000000000000000E+000,0.221956543216319,0.221956543216319,0.221956543216319,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.332648261937383 
 01/01  03:00:00,0.752951821369292,8.13560273828821,0.000000000000000E+000,7.80201767829126,0.000000000000000E+000,0.214815174589521,0.214815174589521,0.214815174589521,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.307639653735812 
 01/01  04:00:00,0.733691026772766,7.93907683003249,0.000000000000000E+000,7.59832340979156,0.000000000000000E+000,0.209206802287008,0.209206802287008,0.209206802287008,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.315173227909561 
 01/01  05:00:00,0.727659863217311,7.87285161678853,0.000000000000000E+000,7.45854839244655,0.000000000000000E+000,0.205358336929416,0.205358336929416,0.205358336929416,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.389689327199826 
 01/01  06:00:00,0.781448371137269,8.12519112930787,0.000000000000000E+000,7.38985153944797,0.000000000000000E+000,0.203466886912365,0.203466886912365,0.203466886912365,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.707872458891342 
 01/01  07:00:00,1.02181188590695,9.14367520984398,0.000000000000000E+000,7.80657143456590,0.000000000000000E+000,0.214940554457847,0.214940554457847,0.214940554457847,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30536820650530 
 01/01  08:00:00,1.34748838654236,9.20357233524314,0.000000000000000E+000,7.69168732869808,0.000000000000000E+000,0.211777417654372,0.211777417654372,0.211777417654372,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47816358702913 
 01/01  09:00:00,1.32199442599589,9.49372923263675,0.000000000000000E+000,8.01915784730645,0.000000000000000E+000,0.220793756700042,0.220793756700042,0.220793756700042,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44606187293721 
 01/01  10:00:00,1.15858106616748,9.53316767578954,0.000000000000000E+000,8.19029897832213,0.000000000000000E+000,0.225505834197748,0.225505834197748,0.225505834197748,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31860479700794 
 01/01  11:00:00,1.18455409053204,10.4578439979039,0.000000000000000E+000,9.27131476699244,0.000000000000000E+000,0.255269749758126,0.255269749758126,0.255269749758126,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16169468368673 
 01/01  12:00:00,1.20267503982825,10.3216166522281,0.000000000000000E+000,9.27839104416617,0.000000000000000E+000,0.255464582912728,0.255464582912728,0.255464582912728,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01838345221368 
