Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Electricity [kWh](Hourly) 
 01/01  01:00:00,1.02270992476380,6.62958127275747,0.000000000000000E+000,6.60161387200909,0.000000000000000E+000,0.161084548590990,0.161084548590990,0.161084548590990,0.154019599327161,3.317992398525795E-002,9.294299910333617E-002,0.406035247778074,0.158803592663783 
 01/01  02:00:00,0.837805423626169,6.70529738219247,0.000000000000000E+000,6.67954677301664,0.000000000000000E+000,0.163839835973082,0.163839835973082,0.163839835973082,8.984479946806206E-002,1.935495279772985E-002,7.618584051012475E-002,0.373851509163160,9.808447239881098E-002 
 01/01  03:00:00,0.769434455666047,6.59705685144954,0.000000000000000E+000,6.57160480006122,0.000000000000000E+000,0.161505284458587,0.161505284458587,0.161505284458587,6.417484765829316E-002,1.382496603892098E-002,6.232654333565033E-002,0.369516998911993,8.144180194740389E-002 
 01/01  04:00:00,0.763126250762384,6.69587165974743,0.000000000000000E+000,6.67077787770417,0.000000000000000E+000,0.164083039280022,0.164083039280022,0.164083039280022,6.417484765829316E-002,1.382496603892098E-002,5.397647371529803E-002,0.364315586610592,8.610732414405976E-002 
 01/01  05:00:00,0.806991530142752,6.54911134613208,0.000000000000000E+000,6.52496548506430,0.000000000000000E+000,0.160833972825096,0.160833972825096,0.160833972825096,6.417484765829316E-002,1.382496603892098E-002,6.582291696649339E-002,0.350553516563136,0.135137296775611 
 01/01  06:00:00,1.07476673268574,6.61499353423807,0.000000000000000E+000,6.58804869391202,0.000000000000000E+000,0.162219738649413,0.162219738649413,0.162219738649413,6.417484765829316E-002,1.382496603892098E-002,8.007824464053613E-002,0.391189550167829,0.346635372215551 
 01/01  07:00:00,1.70646389830950,7.11720590319867,0.000000000000000E+000,7.08607378990230,0.000000000000000E+000,0.174669746901836,0.174669746901836,0.174669746901836,0.147602159173913,3.179742000169565E-002,0.140383655227083,0.451981056440445,0.743385847249324 
 01/01  08:00:00,2.13569195369620,7.02241681964857,0.000000000000000E+000,6.98933661678846,0.000000000000000E+000,0.172354675669595,0.172354675669595,0.172354675669595,0.301621758501075,6.497734398695361E-002,0.228567473812190,0.480263735829312,0.856262940581879 
 01/01  09:00:00,2.06413856721520,6.39816768865231,0.000000000000000E+000,6.37020028790393,0.000000000000000E+000,0.156024808513971,0.156024808513971,0.156024808513971,0.288786798529254,6.221235318185273E-002,0.301128191032485,0.406035247778074,0.833307154864366 
 01/01  10:00:00,1.81593055176599,6.22436107940616,0.000000000000000E+000,6.20055855979405,0.000000000000000E+000,0.151823982823096,0.151823982823096,0.151823982823096,0.147602159173913,3.179742000169565E-002,0.375064854196324,0.345568829774295,0.747429292481469 
 01/01  11:00:00,1.73301389135058,7.14781145894401,0.000000000000000E+000,7.12344914348026,0.000000000000000E+000,0.175722031038073,0.175722031038073,0.175722031038073,0.121932239230273,2.626743839149390E-002,0.395793165817765,0.353696036495233,0.642958967062537 
 01/01  12:00:00,1.61475296005779,5.51251060053206,0.000000000000000E+000,5.48814082112364,0.000000000000000E+000,0.134229456575660,0.134229456575660,0.134229456575660,0.121932239230273,2.626743839149390E-002,0.413608816278677,0.353804399251512,0.548266597014977 
 01/01  13:00:00,1.50270719866314,4.70234227173809,0.000000000000000E+000,4.67838300928752,0.000000000000000E+000,0.114611714476490,0.114611714476490,0.114611714476490,0.121932239230273,2.626743839149390E-002,0.399656799716067,0.347844447656158,0.475750545877463 
 01/01  14:00:00,1.41520100127426,4.01349034486315,0.000000000000000E+000,3.98870258455213,0.000000000000000E+000,9.812014824718608E-002,9.812014824718608E-002,9.812014824718608E-002,0.121932239230273,2.626743839149390E-002,0.361436104744461,0.359872713603146,0.430928343742496 
 01/01  15:00:00,1.36128495641616,3.60180328932269,0.000000000000000E+000,3.57561977135492,0.000000000000000E+000,8.822003483780778E-002,8.822003483780778E-002,8.822003483780778E-002,0.128349679383521,2.764992521303248E-002,0.331768008611008,0.380136549027352,0.388516746028240 
 01/01  16:00:00,1.43317107938968,3.54595739923540,0.000000000000000E+000,3.51831841205334,0.000000000000000E+000,8.700901832341064E-002,8.700901832341064E-002,8.700901832341064E-002,0.160437119145733,3.456241080679652E-002,0.339922860635529,0.401267286501792,0.393328370661220 
 01/01  17:00:00,1.75441416675670,3.96241980427003,0.000000000000000E+000,3.92972772653372,0.000000000000000E+000,9.798788261051700E-002,9.798788261051700E-002,9.798788261051700E-002,0.269534318738862,5.806485839318955E-002,0.389638974367272,0.474628872502794,0.447915246828866 
 01/01  18:00:00,2.37584925065327,5.51862348697506,0.000000000000000E+000,5.47890783728676,0.000000000000000E+000,0.137105427702276,0.137105427702276,0.137105427702276,0.500563757562266,0.107834727209053,0.480422251988538,0.576598226161501,0.556680846714443 
 01/01  19:00:00,2.79036583981400,4.76430163497687,0.000000000000000E+000,4.72118242651053,0.000000000000000E+000,0.116189682946604,0.116189682946604,0.116189682946604,0.744428156357487,0.160369603992041,0.432594366092666,0.626011643024805,0.664128350085186 
 01/01  20:00:00,2.77629384617651,4.83233653867914,0.000000000000000E+000,4.78782903650072,0.000000000000000E+000,0.117583928422269,0.117583928422269,0.117583928422269,0.789350556091520,0.170047080390905,0.349590930400065,0.646167115692732,0.686910221863818 
 01/01  21:00:00,2.57743179578136,5.18894342845570,0.000000000000000E+000,5.14290581761611,0.000000000000000E+000,0.126378514788552,0.126378514788552,0.126378514788552,0.680253356498389,0.146544632804512,0.310730546875078,0.668381480729962,0.628499250769671 
 01/01  22:00:00,2.34458020463064,5.60756707788580,0.000000000000000E+000,5.56260427508136,0.000000000000000E+000,0.136556360308019,0.136556360308019,0.136556360308019,0.571156156905260,0.123042202380143,0.293949375651685,0.652777243825761,0.550454852244574 
 01/01  23:00:00,1.91923271474224,6.13857201600424,0.000000000000000E+000,6.09966247234232,0.000000000000000E+000,0.149549713242663,0.149549713242663,0.149549713242663,0.429971437884595,9.262726919998608E-002,0.234174255411816,0.564895048483349,0.431370977204636 
 01/01  24:00:00,1.47949365952299,6.68259618796578,0.000000000000000E+000,6.64878451852619,0.000000000000000E+000,0.162835479009980,0.162835479009980,0.162835479009980,0.295204238682502,6.359484000339130E-002,0.151455748256992,0.490883285944670,0.298876054310260 
 01/02  01:00:00,1.02116401609856,7.25132631578480,0.000000000000000E+000,7.22335891503643,0.000000000000000E+000,0.176676478516872,0.176676478516872,0.176676478516872,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148239442408401 
 01/02  02:00:00,0.854751086021836,7.81579196566418,0.000000000000000E+000,7.79004135648835,0.000000000000000E+000,0.190292191846168,0.190292191846168,0.190292191846168,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.252480615435209E-002 
 01/02  03:00:00,0.804167733111600,8.34295517691366,0.000000000000000E+000,8.31750312552537,0.000000000000000E+000,0.202928672043932,0.202928672043932,0.202928672043932,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.736293232383079E-002 
 01/02  04:00:00,0.808538051111034,8.85098581954146,0.000000000000000E+000,8.82589203749820,0.000000000000000E+000,0.215238994505750,0.215238994505750,0.215238994505750,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.172857453127899E-002 
 01/02  05:00:00,0.857967747928638,9.18614962087534,0.000000000000000E+000,9.16200375980756,0.000000000000000E+000,0.223435825924499,0.223435825924499,0.223435825924499,6.417484765829316E-002,1.382496603892098E-002,6.315175921409334E-002,0.350553516563136,0.126182819214496 
 01/02  06:00:00,1.11078421472273,9.37997920937497,0.000000000000000E+000,9.35303436904895,0.000000000000000E+000,0.228094531931580,0.228094531931580,0.228094531931580,6.417484765829316E-002,1.382496603892098E-002,7.598154876300982E-002,0.391189550167829,0.320874756847897 
 01/02  07:00:00,1.71128280124416,10.2492797132879,0.000000000000000E+000,10.2181475999915,0.000000000000000E+000,0.249192240941680,0.249192240941680,0.249192240941680,0.147602159173913,3.179742000169565E-002,0.129758134509170,0.451981056440445,0.684307776862061 
 01/02  08:00:00,2.09130012143618,9.09722410116187,0.000000000000000E+000,9.06414389830179,0.000000000000000E+000,0.221049295690107,0.221049295690107,0.221049295690107,0.301621758501075,6.497734398695361E-002,0.207406094963531,0.480263735829312,0.784337867150000 
 01/02  09:00:00,1.99806580051293,8.13295764163371,0.000000000000000E+000,8.10499024088534,0.000000000000000E+000,0.197658201858264,0.197658201858264,0.197658201858264,0.288786798529254,6.221235318185273E-002,0.268690864190452,0.406035247778074,0.758038321659833 
 01/02  10:00:00,1.71625303062314,6.85402493439009,0.000000000000000E+000,6.83022241477800,0.000000000000000E+000,0.166570155012249,0.166570155012249,0.166570155012249,0.147602159173913,3.179742000169565E-002,0.330033759705594,0.345568829774295,0.678036693640199 
 01/02  11:00:00,1.62200192884812,7.19591628613253,0.000000000000000E+000,7.17155397066878,0.000000000000000E+000,0.175239444619764,0.175239444619764,0.175239444619764,0.121932239230273,2.626743839149390E-002,0.344876895795482,0.353696036495233,0.583345861000674 
 01/02  12:00:00,1.50130769541062,5.05582699160186,0.000000000000000E+000,5.03145721219341,0.000000000000000E+000,0.122751315294183,0.122751315294183,0.122751315294183,0.121932239230273,2.626743839149390E-002,0.361120014768658,0.353804399251512,0.498788275159298 
 01/02  13:00:00,1.39642983332554,4.07723867204466,0.000000000000000E+000,4.05327940959410,0.000000000000000E+000,9.905773093931634E-002,9.905773093931634E-002,9.905773093931634E-002,0.121932239230273,2.626743839149390E-002,0.351846255376571,0.347844447656158,0.432837708416529 
 01/02  14:00:00,1.32776494947803,3.73634847267669,0.000000000000000E+000,3.71156071236567,0.000000000000000E+000,9.148246290006704E-002,9.148246290006704E-002,9.148246290006704E-002,0.121932239230273,2.626743839149390E-002,0.317848037359318,0.359872713603146,0.393718044678534 
 01/02  15:00:00,1.29805164334576,3.98301075524056,0.000000000000000E+000,3.95682723727276,0.000000000000000E+000,9.780148738898621E-002,9.780148738898621E-002,9.780148738898621E-002,0.128349679383521,2.764992521303248E-002,0.292642405135342,0.380136549027352,0.354827583882332 
 01/02  16:00:00,1.37636038483322,4.07140051234936,0.000000000000000E+000,4.04376152516727,0.000000000000000E+000,0.100755448546272,0.100755448546272,0.100755448546272,0.160437119145733,3.456241080679652E-002,0.302863858133087,0.401267286501792,0.359830248384341 
 01/02  17:00:00,1.68954474468920,4.45177572866840,0.000000000000000E+000,4.41908365093209,0.000000000000000E+000,0.110162286484504,0.110162286484504,0.110162286484504,0.269534318738862,5.806485839318955E-002,0.353721026385214,0.474628872502794,0.406789368869435 
 01/02  18:00:00,2.30539472695430,6.10042778705430,0.000000000000000E+000,6.06071213736600,0.000000000000000E+000,0.151429356548464,0.151429356548464,0.151429356548464,0.500563757562266,0.107834727209053,0.445070293491817,0.576598226161501,0.507254352666002 
 01/02  19:00:00,2.70318337652053,5.23143409089051,0.000000000000000E+000,5.18831488242417,0.000000000000000E+000,0.127465956923388,0.127465956923388,0.127465956923388,0.744428156357487,0.160369603992041,0.398284023104866,0.626011643024805,0.599979955802742 
 01/02  20:00:00,2.67872192136015,5.19050466739947,0.000000000000000E+000,5.14599716522105,0.000000000000000E+000,0.126105585800572,0.126105585800572,0.126105585800572,0.789350556091520,0.170047080390905,0.315346148810717,0.646167115692732,0.615061421258510 
 01/02  21:00:00,2.47938645887900,5.41633646915471,0.000000000000000E+000,5.37029885831512,0.000000000000000E+000,0.131640623227768,0.131640623227768,0.131640623227768,0.680253356498389,0.146544632804512,0.275875148663200,0.668381480729962,0.560047203639971 
 01/02  22:00:00,2.25347736176987,5.69666670008369,0.000000000000000E+000,5.65170389727928,0.000000000000000E+000,0.138454802631341,0.138454802631341,0.138454802631341,0.571156156905260,0.123042202380143,0.258342489697899,0.652777243825761,0.493060453014269 
 01/02  23:00:00,1.84226996331013,6.00297691577950,0.000000000000000E+000,5.96406737211755,0.000000000000000E+000,0.146008536756567,0.146008536756567,0.146008536756567,0.429971437884595,9.262726919998608E-002,0.205881020852975,0.564895048483349,0.386242636817459 
 01/02  24:00:00,1.42672048935521,6.31641897377989,0.000000000000000E+000,6.28260730434029,0.000000000000000E+000,0.153695293530595,0.153695293530595,0.153695293530595,0.295204238682502,6.359484000339130E-002,0.135920890493347,0.490883285944670,0.270777927385501 
 01/03  01:00:00,1.00564561820365,6.60762068406568,0.000000000000000E+000,6.57965328331730,0.000000000000000E+000,0.160933840888552,0.160933840888552,0.160933840888552,0.154019599327161,3.317992398525795E-002,8.636931076758889E-002,0.406035247778074,0.148463682141814 
 01/03  02:00:00,0.826811595886586,6.66491235374817,0.000000000000000E+000,6.63916174457234,0.000000000000000E+000,0.162240580205101,0.162240580205101,0.162240580205101,8.984479946806206E-002,1.935495279772985E-002,7.223881327716383E-002,0.373851509163160,9.263692766016896E-002 
 01/03  03:00:00,0.761671194586096,6.59141174038851,0.000000000000000E+000,6.56595968900022,0.000000000000000E+000,0.160353118928331,0.160353118928331,0.160353118928331,6.417484765829316E-002,1.382496603892098E-002,5.971530281942931E-002,0.369516998911993,7.744194691392992E-002 
 01/03  04:00:00,0.749791605176785,6.42220867003574,0.000000000000000E+000,6.39711488799251,0.000000000000000E+000,0.156404309714341,0.156404309714341,0.156404309714341,6.417484765829316E-002,1.382496603892098E-002,5.261106845099969E-002,0.364315586610592,8.181681338843889E-002 
