Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.981774979390886,9.86462846826324,0.000000000000000E+000,9.41022536146571,0.000000000000000E+000,0.260980796819645,0.260980796819645,0.260980796819645,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.425893594404417 
 01/01  02:00:00,0.858371383765177,10.0661383461758,0.000000000000000E+000,9.70550213448402,0.000000000000000E+000,0.269152734615868,0.269152734615868,0.269152734615868,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.334386460489179 
 01/01  03:00:00,0.811160148256986,10.1729263510279,0.000000000000000E+000,9.83781915333939,0.000000000000000E+000,0.273023501477214,0.273023501477214,0.273023501477214,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.309161791427377 
 01/01  04:00:00,0.798218256131013,10.2076897834568,0.000000000000000E+000,9.86593470156548,0.000000000000000E+000,0.273734031645257,0.273734031645257,0.273734031645257,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.316174889559981 
 01/01  05:00:00,0.789741511023437,10.0553252881766,0.000000000000000E+000,9.64053358397117,0.000000000000000E+000,0.267439984735542,0.267439984735542,0.267439984735542,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.390177807063238 
 01/01  06:00:00,0.841475610838658,10.2365819025255,0.000000000000000E+000,9.50108984918077,0.000000000000000E+000,0.263494126613754,0.263494126613754,0.263494126613754,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.708024922376221 
 01/01  07:00:00,1.06437391664441,10.6207655641940,0.000000000000000E+000,9.28365148440600,0.000000000000000E+000,0.257502585195305,0.257502585195305,0.257502585195305,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30537851101520 
 01/01  08:00:00,1.40524790113310,11.2312640645191,0.000000000000000E+000,9.71925840950617,0.000000000000000E+000,0.269536932245114,0.269536932245114,0.269536932245114,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47828423549700 
 01/01  09:00:00,1.35204436443663,10.5193938953534,0.000000000000000E+000,9.04500440007851,0.000000000000000E+000,0.250843695140783,0.250843695140783,0.250843695140783,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44587998288185 
 01/01  10:00:00,1.18159577613244,10.3054245097245,0.000000000000000E+000,8.96271004418399,0.000000000000000E+000,0.248520544162715,0.248520544162715,0.248520544162715,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31845056508100 
 01/01  11:00:00,1.21026537127020,11.3046054007213,0.000000000000000E+000,10.1179267036582,0.000000000000000E+000,0.280981030496289,0.280981030496289,0.280981030496289,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16184414983830 
 01/01  12:00:00,1.19269086043262,9.90271661460698,0.000000000000000E+000,8.85993663095433,0.000000000000000E+000,0.245480403517100,0.245480403517100,0.245480403517100,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01793782780439 
 01/01  13:00:00,1.15761835779810,9.24857347383855,0.000000000000000E+000,8.31530239939282,0.000000000000000E+000,0.230435529883750,0.230435529883750,0.230435529883750,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.908847392892002 
 01/01  14:00:00,1.11997148977742,8.75946971462180,0.000000000000000E+000,7.89359202595448,0.000000000000000E+000,0.218747666276842,0.218747666276842,0.218747666276842,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.840609449900958 
 01/01  15:00:00,1.11747737601020,8.63446153413453,0.000000000000000E+000,7.83129746245415,0.000000000000000E+000,0.217063508683059,0.217063508683059,0.217063508683059,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.776473020312625 
 01/01  16:00:00,1.18845443665720,8.65082609712620,0.000000000000000E+000,7.83893972796518,0.000000000000000E+000,0.217339824835736,0.217339824835736,0.217339824835736,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.783711636203568 
 01/01  17:00:00,1.44981538294442,8.64725393778637,0.000000000000000E+000,7.74798792546469,0.000000000000000E+000,0.214782225630871,0.214782225630871,0.214782225630871,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.865940241229669 
 01/01  18:00:00,1.97728941288729,10.1538821376542,0.000000000000000E+000,9.08462882395174,0.000000000000000E+000,0.252288325223638,0.252288325223638,0.252288325223638,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.02876782786208 
 01/01  19:00:00,2.28366719934269,8.97828422305058,0.000000000000000E+000,7.74672462500846,0.000000000000000E+000,0.214483162454085,0.214483162454085,0.214483162454085,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18760457986894 
 01/01  20:00:00,2.24543106259141,8.89345657538243,0.000000000000000E+000,7.62693480241715,0.000000000000000E+000,0.211296770519827,0.211296770519827,0.211296770519827,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22115155081419 
 01/01  21:00:00,2.09948305835814,9.15034394908019,0.000000000000000E+000,7.96839724564028,0.000000000000000E+000,0.220980869406156,0.220980869406156,0.220980869406156,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13501671346377 
 01/01  22:00:00,1.93930497816891,9.46137129136934,0.000000000000000E+000,8.39692521369296,0.000000000000000E+000,0.232908267979811,0.232908267979811,0.232908267979811,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.01861172948953 
 01/01  23:00:00,1.62500348409056,9.83122497646727,0.000000000000000E+000,8.95312114292807,0.000000000000000E+000,0.248391811848702,0.248391811848702,0.248391811848702,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.838440079040849 
 01/01  24:00:00,1.30634612479174,10.0481400639346,0.000000000000000E+000,9.37595102011248,0.000000000000000E+000,0.260122314419105,0.260122314419105,0.260122314419105,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.637721979199603 
 01/02  01:00:00,0.983929579470664,10.1609419954263,0.000000000000000E+000,9.72208430605108,0.000000000000000E+000,0.269709085235169,0.269709085235169,0.269709085235169,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.410348176982060 
 01/02  02:00:00,0.863354675638416,10.3754833318635,0.000000000000000E+000,10.0227734213883,0.000000000000000E+000,0.278083053722065,0.278083053722065,0.278083053722065,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.326460159272591 
