Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.834689994333992,4.59767394997327,0.000000000000000E+000,4.13665905378576,0.000000000000000E+000,0.113895811762751,0.113895811762751,0.113895811762751,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.432505383794408 
 01/01  02:00:00,0.710947926746153,4.78825989301438,0.000000000000000E+000,4.42116799984449,0.000000000000000E+000,0.121729277596844,0.121729277596844,0.121729277596844,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.340842141967270 
 01/01  03:00:00,0.668059584232843,5.06039069507268,0.000000000000000E+000,4.71875907631460,0.000000000000000E+000,0.129922937453073,0.129922937453073,0.129922937453073,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.315686212496949 
 01/01  04:00:00,0.661132833349407,5.31124290235990,0.000000000000000E+000,4.96303328712851,0.000000000000000E+000,0.136648608863652,0.136648608863652,0.136648608863652,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.322629422900012 
 01/01  05:00:00,0.662071315292459,5.49769835555586,0.000000000000000E+000,5.07639354057928,0.000000000000000E+000,0.139769789004565,0.139769789004565,0.139769789004565,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.396690917834439 
 01/01  06:00:00,0.717584998402423,5.81224841808818,0.000000000000000E+000,5.07035449262774,0.000000000000000E+000,0.139603514177519,0.139603514177519,0.139603514177519,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.714426794491937 
 01/01  07:00:00,0.941144829058278,6.21995370074951,0.000000000000000E+000,4.87677001438358,0.000000000000000E+000,0.134273497609171,0.134273497609171,0.134273497609171,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.31144811759312 
 01/01  08:00:00,1.25839638589634,5.97377090713207,0.000000000000000E+000,4.45589467409242,0.000000000000000E+000,0.122685417008350,0.122685417008350,0.122685417008350,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.48415481352371 
 01/01  09:00:00,1.21541427108891,5.62851287691489,0.000000000000000E+000,4.14820108492605,0.000000000000000E+000,0.114213601793067,0.114213601793067,0.114213601793067,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.45180227959575 
 01/01  10:00:00,1.03267580580344,4.96600548766124,0.000000000000000E+000,3.61746063472233,0.000000000000000E+000,9.960057383371504E-002,9.960057383371504E-002,9.960057383371504E-002,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.32428095247945 
 01/01  11:00:00,1.02866396860675,4.80211971992159,0.000000000000000E+000,3.60943594741573,0.000000000000000E+000,9.937962783283755E-002,9.937962783283755E-002,9.937962783283755E-002,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16784922528114 
 01/01  12:00:00,1.02373157032295,3.82873285489428,0.000000000000000E+000,2.77922209503165,0.000000000000000E+000,7.652111340742759E-002,7.652111340742759E-002,7.652111340742759E-002,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.02466860401435 
 01/01  13:00:00,0.981906359351937,2.92760446486773,0.000000000000000E+000,1.98754096637015,0.000000000000000E+000,5.472353143759318E-002,5.472353143759318E-002,5.472353143759318E-002,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.915639816943834 
 01/01  14:00:00,0.953741070962016,2.78026747915659,0.000000000000000E+000,1.90740944578193,0.000000000000000E+000,5.251724746143964E-002,5.251724746143964E-002,5.251724746143964E-002,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.847589794608329 
 01/01  15:00:00,0.957217092562098,2.87350345824498,0.000000000000000E+000,2.06307477259923,0.000000000000000E+000,5.680322523496271E-002,5.680322523496271E-002,5.680322523496271E-002,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.783737634278003 
 01/01  16:00:00,1.03570751001215,3.16501909712925,0.000000000000000E+000,2.34599317547667,0.000000000000000E+000,6.459289819069221E-002,6.459289819069221E-002,6.459289819069221E-002,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.790851188695106 
 01/01  17:00:00,1.30473632451594,3.43794663269774,0.000000000000000E+000,2.53159649352100,0.000000000000000E+000,6.970316720238914E-002,6.970316720238914E-002,6.970316720238914E-002,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.873024368084727 
