Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,1.01767140028536,11.2338922759115,0.000000000000000E+000,10.7824845489313,0.000000000000000E+000,0.296877217714120,0.296877217714120,0.296877217714120,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.422898214587123 
 01/01  02:00:00,0.880121868406793,10.9247748958210,0.000000000000000E+000,10.5655108567429,0.000000000000000E+000,0.290903219257484,0.290903219257484,0.290903219257484,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.333014287875451 
 01/01  03:00:00,0.828829846487505,10.8915626773666,0.000000000000000E+000,10.5578830146082,0.000000000000000E+000,0.290693199707735,0.290693199707735,0.290693199707735,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.307734256497244 
 01/01  04:00:00,0.808954819909946,10.6724086072307,0.000000000000000E+000,10.3318800391759,0.000000000000000E+000,0.284470595424189,0.284470595424189,0.284470595424189,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.314948375723480 
 01/01  05:00:00,0.801179361080898,10.5426331859572,0.000000000000000E+000,10.1287527815306,0.000000000000000E+000,0.278877834793003,0.278877834793003,0.278877834793003,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.389266507284451 
 01/01  06:00:00,0.854906370213594,10.7927155544561,0.000000000000000E+000,10.0578223124650,0.000000000000000E+000,0.276924885988690,0.276924885988690,0.276924885988690,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.707426111022575 
 01/01  07:00:00,1.08959453521520,11.6047757299515,0.000000000000000E+000,10.2684153391918,0.000000000000000E+000,0.282723203766093,0.282723203766093,0.282723203766093,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30462482198691 
 01/01  08:00:00,1.39379423466753,10.8844213449936,0.000000000000000E+000,9.37350075910939,0.000000000000000E+000,0.258083265779537,0.258083265779537,0.258083265779537,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47719916636827 
 01/01  09:00:00,1.35276996159572,10.6107738278389,0.000000000000000E+000,9.13691534869149,0.000000000000000E+000,0.251569292299874,0.251569292299874,0.251569292299874,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44534896675427 
 01/01  10:00:00,1.18549158842338,10.5099450578884,0.000000000000000E+000,9.16768044484957,0.000000000000000E+000,0.252416356453657,0.252416356453657,0.252416356453657,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31800071257934 
 01/01  11:00:00,1.21309457662421,11.4938951694883,0.000000000000000E+000,10.3078959929865,0.000000000000000E+000,0.283810235850296,0.283810235850296,0.283810235850296,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16116462927706 
